resource,row-count
0001a1baf9ddd7505cfef2e671292122de73a44299e5f5e584e9ec1514c0181c,38
01c922a3f33dda8ce6b5ab57a5522319157911a039a6441699ed40984555e094,39
0219993638d3c37f053f2297c1d34e9767a23326c8e24b7ebec770d1e39c003a,72
024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748,22
0259cede12dc82d0c4cef68f444d2a1ae3a3d718787f8cdb8ff1fc05243ae004,-1
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,19
038700272854fcfdc3f20c454bd8035b16134d9e95baa653e4fe9329c4b0a7ba,54
03bebd75a639c57ad0917f35e617aefa36919656a6b5412db73b0cbc3e383d55,31
03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4,-1
049b06464791f4a1dc2c73ecb1d9e5009d9fb0e109a828069babb2c588415f6c,46
06ce74170cf0aaff9bf7f32b232f7b0d930832e588a98704f5b792277765ba18,-1
06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf,66
070747cb51d68682cd9a42e6d3e7887cf1789164006238b4c3bd52d5243307b6,-1
0718b0fcb6c27713952a624965815f05a214a9c1861a8271367502f60ac44e82,-1
07b5853ca41b79766229b16ad8d43b59b7dcf0f6bdde3578c3ba8325bf165d37,57
07e1064ce37631bbca6118959dca0baf87ca9f35b06e025c9828ba656b6a304e,-1
083bcaab201ec76562ca96c13b687b249e16fbe9372966078d9f870e722a365b,-1
084cafabbdfbc4d33308b30f99b3b8856dc3afae54a0a9eeabba8567c3404ad3,-1
08e88557868c261dd7fa9a334e49519df201475d0e49d1c50a683d79504a686e,47
0938ddfe15027c0efc4d998795717ad812a5a5fc09572ce472b43ae165811b6f,45
09507a469d95be4189fab5558f4adf2c03c61ac26204b65c60387529544d2788,-1
0971665e09d354b2b04ea04611aab728191abfc2614e06f1c99918c38698a914,18
0973f09fd6d71ba7d56f9f1c235dc7f05f9d252debaa16fb1734d817a91a8390,24
099c5b0cc29d8022bd42dc28da7ee72bb43ecc20171dff34da9edd4d169a38a9,37
09a3e48a3346b574437259343471e3ff27c5aebfaed96abe01a4ba1141926c10,48
09e664c87845f8e4955d93f157ec7ab5a0528d6d9460eec1b6747eff5df02eac,-1
0a43e3e71d0ca9d0ebcab2c14276687255dd51fd176cef0ce756bea3d34ef01e,-1
0abd8a357da3b458504a8e16969a1c7ede85e8b7ef2bdef274d382f1db4108fc,-1
0aec30f8e111a9cdab08fed7bd537ccde0c0fb454e27ae62fa9fee8f6f9e25f0,32
0bd2c8d48a4fd87364f31dde210db29bc201976be57ce1ea848541e9a2d6110d,41
0da9a2dad92b733c3ea4dcbfc837df39126e735119ce0806c2970f2f82913204,-1
0e2a0a761b176d0928e2f6dde8bc61748da4e4169f9c6a6084e85c9f0489cb54,-1
0e998c88ba58035c5a638240ecaec77aa5498b4a177cb40f79d5dc84ef85f612,32
0f3b2d5a03867a8e830d904bb9f9819b9f5683a476bf4618c3e6ec3813b59424,-1
117af813c96e18a29269c9b3ef0cf801901e5c8c229668b3a25fec2991d69ba9,39
12e709c847614f924fc6bd9dcb9c162816e5962388776532fc311a9bb2d18c83,-1
1410803bd16ecc4a444f853fc04550b0871e581a86c240a202813e98c8e7da6a,10
163a15518ad8e5437a2471adf78aabf61a16c49b79a0c9f7c425730829b95349,-1
169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98,23
16fc64e4a4755a4f44cf2fee3e20438115ec7c0b246ea73f444aefeda553b16f,26
18ee8ddaaddbb62504a493c4a554de45c829bcc17d48cf99ab5a6b163be364cf,51
1916bf47abdb6993ec78965cd87d4dc6cdd223fe60d093cb6da9c4426d8edc3f,-1
192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068,44
1a22abf4ae6936b562e71af99e5f84e7a394774723389732f24639805b8a4ba3,96
1a349651d94dfdbdc44773a256313c391c7418f0bcad53f0697c97905e5df993,32
1a50bf642aa3f401b4b51b5a91f923d14dfb3e5117b59483f5d447f4fd12c609,30
1a93f47c44a4e68037e88f645b09ba99201d81f7a263c27b8e7dcfac3d8bbf4b,12
1acc207e89a6a1ea460d438c9d4cbcdb2c629c4691d623ffa87df13773259587,-1
1e5e9aac8e2eca160ed2511397c1ab2a59eee8c764e1bef9b10ee9d64de9ac22,25
1e676ab6544457f0c926c787f10159e952c78c3be221eb5cd94cc005791042c4,-1
1e6a760b7915b699482ed21438dbc1564b660b81afd8d6b06f9e50494d6f3cee,33
1ebc73d8061d28fa5ff47325ad0e37405cadea4c4ad8bf72d13a3ecf22e4a1fc,-1
1f57061ab1128107cd734a5010136376105124f5f1d646e0907aea36aa9c498c,110
2091dd8344d35c5108e4eebbc6865b14d3a1fefbddfe7f356d18c25996d8aa2c,110
2097b9a5e8b6d406a28b8746d2a17ff6dbc3cc15a86bd7464d91fa9f45770fab,-1
219644ab98b0fd283536a98103a9dceb729f5518c4c7d2611a0d45ba2ab98d25,36
21b4117d04dc7e708bd1577b5295e4cd1ec931929b17b1b574c6ad95b19c524d,-1
22da6ec5b4606f5e6ecb3870a934b09f3b84a98b24a6c9c163b6e0f7b2dcf788,-1
232c6cab386276d5fbd262f6e0cd04571e1ba8f51d7faa9bd5baa75131ac04fb,-1
23d86ce74c62312d043cbb4c9a7054f8a5250d610e8755ac10a7efbc1acceebb,100
2437d6a915eee505588c3e3f460cdbd5272356a8fb57a72706009efa1e54034c,-1
243dc9cd8161e864e6945a5b41949aeee0d4a484f5ded4ca6a9c5999cf24f96a,93
244c5ba97eb25091ce59e846bbd50a89c5edf043e522863bdf334c088e141374,20
24cc6bdbfc6e9efde4626416f208874519bf6a924b9b162fc137a8d44e7b27ba,34
2520af17d644b3b4ca1c125676fb490e635707f0c920f816332c234539ffb577,118
2538ffb8acb1ed2431125fc409a8c27bbe9fb906a816719936a38f38442a247e,39
254f9eac6d49b57c2c4e90f1b24fe10d0154a956ff24f72e3dfd9a8788d4641d,15
27067df7950a62f840ee55457297b7f9e1a21420b2334cb4ac8e56642ac4c5a4,26
27710b83c46fb36c73ae7eb3d9011e7cd2488c535e04c7bd0beb2587364d464b,22
2780e7d821ffe31314200f79af4c177f43572bed706e65a7f9c5fe985d6a62cb,214
291b6038921e171a6e061c6860089277811cb8deb14ad68db16550310dfb0c13,-1
29574329559c4d4a5ba8d10c149b2627f425f386173b71418e8d42beff597e7e,25
2a7b9d74419a9388b37862f100293f18ebeee60212d69e9e1f2e1fdb402375f4,211
2b5940c427ebabb32d95f2097f5480081d0af9f201eee8bd83ae25a6fca681a4,70
2b9acc994f06b513dda160186c98affbdd785a8b21fc0734e0c6696cc293c1fe,-1
2bb8b8f17edffd33f6ab7b614216cd35f6cfd97ec1e1f487bf11cf99bcc33282,38
2bc41e53f8e3797a3b1740a5469eeea2926a0b8dbfce2279b76aeaa423565c92,22
2c8470a8cf8f80693ba26bc208c754c2c5c6f02c27ec8be74df629c51e050935,38
2cf90070d5f4217bf1c1cd0bdc0043d1ee567494238ffe033c9747615cf13d08,35
2e2057c49f3d70e582dcb94b837a132a0b216bef6078b86361aa4cc45878bf96,71
2e282ea34c1197bd5c33f6fb21fb8d0c3c0f8c973745b70d8d840573b5a5d4db,39
2e658d064e582dc8f81528733d18695c86c5a8530e7bd3cc09579d4b86d99069,52
2eb8c443dbf7cd505c72aeede0cb051329326e89ea93698c26cb8b3f1c615f53,23
2f7c0fef68e882c3acba02073190cf0e6de4e616807f81fd211a0c1b03a10cad,106
3089a3f8e06e4b03f30955c91ee33ec80dd979c6ff48e9be59a414fe244e71a5,-1
