OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/chesterfield,15,"Brampton Manor, Old Road, Chesterfield",-1.456517,53.235298,https://www.chesterfield.gov.uk/media/562063/15-brampton-manor-old-road-chesterfield.pdf,0.92,,,not permissioned,,,,6,6,,Parts of the site have potential for future residential develoment subject to consideration of the impact upon listed structures/buildings and scheduled ancient monuments.,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/chesterfield,16,"Brockwell Court (Former), Cheedale Avenue, Newbold, Chesterfield",-1.452349,53.249598,https://www.chesterfield.gov.uk/media/562066/16-brockwell-court-former-cheedale-avenue-newbold.pdf,0.72,owned by a public authority,,permissioned,,,,20,20,,"The site has been occupied by a permanent structure but the remains have not sufficiently blended into the landscape over the process of time. There is a possibility that the site may be required to meet unmet open space needs but there is no conclusive evidence to this effect, Whilst the nearby junior school is at capacity certain types of residential development would be possible without an increase in demand for school places. Furthermore the potential for expansion of the nearby schools is as yet undetermined. Provided biodiversity impacts can be mitigated the site would be appropriate for residential development.",2017-12-19,2019-12-09,
http://opendatacommunities.org/id/district-council/chesterfield,17,"Catherine Street, Bank Street and Catherine Street Chesterfield",-1.440974,53.235801,https://www.chesterfield.gov.uk/media/562069/17-catherine-street-chesterfield.pdf,0.25,owned by a public authority,,permissioned,,,,12,12,,The site appropriate for residential development.  Constraints identified within the LAA are likely to be mitigable.,2017-12-19,2019-12-09,
http://opendatacommunities.org/id/district-council/chesterfield,18,"Land at Duewell Court, Station Road, Barrow Hill",-1.376965,53.274298,https://www.chesterfield.gov.uk/media/562072/18-land-at-duewell-court-station-road-barrow-hill.pdf,0.69,owned by a public authority,,not permissioned,,,,20,20,,"Whilst no local centre is nearby (notwithstanding any centre developed within the Staveley Rother Corridor), the site is still appropriate for residential development being in regeneration priority area.  Identified constraints are likely to be mitigable.",2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/chesterfield,23,"Heaton Court (Former), Meynell Close, Chesterfield",-1.456377,53.233302,https://www.chesterfield.gov.uk/media/562075/23-heaton-court-former-meynell-close-chesterfield.pdf,0.2,owned by a public authority,,permissioned,,,,10,10,,"The site is appropriate for residential development in terms of access to centres, services and facilities. Identified constraints are likely to be mitigable.",2017-12-19,2019-12-09,
http://opendatacommunities.org/id/district-council/chesterfield,32,"Miller Avenue, Mastin Moor, Chesterfield",-1.321949,53.2778,https://www.chesterfield.gov.uk/media/562078/32-miller-avenue-mastin-moor.pdf,0.41,owned by a public authority,,not permissioned,,,,14,14,,The site is appropriate for residential development despite no local centre nearby and limited accessibility to services and facilities given that it is within a regeneration priority area. Identified constraints are likely to be mitigable.,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/chesterfield,49,"Land North-East of Sainsburys Roundabout, Rother Way, Chesterfield",-1.414648,53.255702,https://www.chesterfield.gov.uk/media/562081/49-land-north-east-of-sainsburys-roundabout-rother-way-chesterfield.pdf,1.6,not owned by a public authority,,permissioned,,,,45,45,,Development is under construction. 45 dwellings based on brownfield element.,2017-12-19,2018-12-11,
http://opendatacommunities.org/id/district-council/chesterfield,64,"Boythorpe Works (Former), Goytside Road Chesterfield",-1.446608,53.231099,https://www.chesterfield.gov.uk/media/562084/64-boythorpe-works-former-goytside-road-chesterfield.pdf,5.71,not owned by a public authority,,pending decision,,,,135,135,,Application for full planning permission is pending consideration.,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/chesterfield,68,"Land At East Of A61 Known as Chesterfield Waterside, Brimington Road, Chesterfield",-1.421246,53.243303,https://www.chesterfield.gov.uk/media/562912/68-land-east-of-a61-known-as-chesterfield-waterside.pdf,19.22,not owned by a public authority,,permissioned,,,,1550,1550,,Outline planning permission receieved. CHE/19/00116/REM  and CHE/19/00007/REM recently approved which covers 177 dwellings and the Basin Square area of the scheme.,2017-12-19,2019-12-11,
http://opendatacommunities.org/id/district-council/chesterfield,91,"Ashbrook Centre (Former), Cuttholme Road, Chesterfield",-1.45621,53.241804,https://www.chesterfield.gov.uk/media/562087/91-ashbrooke-centre-former-cuttholme-road-chesterfield.pdf,0.68,owned by a public authority,,not permissioned,,,,20,20,,The site has been occupied by a permanent structure but the remains have not sufficiently blended into the landscape over the process of time.  It is in a location accessible to a centre and with reasonable accessibility to services and facilities and it is likely that constraints can be mitigated.,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/chesterfield,94,Allen & Orr Timber Yard,-1.429687,53.23848,https://www.chesterfield.gov.uk/media/824279/94-allen-orr-timber-yard-chesterfield.pdf,0.86,not owned by a public authority,,not permissioned,,,,39,39,,"Included within draft local plan. The site has no significant physical or environmental constraints and those identified, including access, highway network limitations, heritage impact, air pollution, land stability should be mitigable.",2018-12-11,2018-12-11,
http://opendatacommunities.org/id/district-council/chesterfield,108,"Goldwell Rooms (Former) and 6 Ashgate Road, Chesterfield",-1.439559,53.238599,https://www.chesterfield.gov.uk/media/562093/108-goldwell-rooms-former-and-6-ashgate-road-chesterfield.pdf,0.62,owned by a public authority,,permissioned,,,,70,70,,"The site is appropriate for residential development in terms of access to centres, services and facilities. Identified constraints are likely to be mitigable.",2017-12-19,2019-12-11,
http://opendatacommunities.org/id/district-council/chesterfield,111,"Ringwood Centre, Victoria Street, Brimington, Chesterfield",-1.389072,53.264401,https://www.chesterfield.gov.uk/media/562096/111-ringwood-centre-victoria-street-brimington.pdf,0.97,not owned by a public authority,,permissioned,,,,37,37,,Site has full planning permission and development is currently underway.,2017-12-19,2017-12-19,
