OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/london-borough-council/waltham-forest,2014/1061/OUT,Land to the Rear 35-47 Jordan Court,-0.004999,51.623249,https://maps.london.gov.uk/brownfield-site-register,0.11,not owned by a public authority,,not permissioned,,,,5,5,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,132613,1-20 Forest Court,0.018193,51.628231,https://maps.london.gov.uk/brownfield-site-register,0.1,not owned by a public authority,,not permissioned,,,,5,5,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,181043,16 Forest View,0.008518,51.635222,https://maps.london.gov.uk/brownfield-site-register,0.09,not owned by a public authority,,permissioned,,,,5,5,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,151810,Kirkdale House 7 Kirkdale Road,0.009676,51.569529,https://maps.london.gov.uk/brownfield-site-register,0.06,not owned by a public authority,,not permissioned,,,,34,34,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,171743,9 Osier Way,-0.016118,51.560085,https://maps.london.gov.uk/brownfield-site-register,0.43,not owned by a public authority,,not permissioned,,,,115,115,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,LHCSS17310271,Oliver Road (Score Centre-Preferred options NOF 8),-0.013814,51.559336,https://maps.london.gov.uk/brownfield-site-register,2.89,owned by a public authority,,not permissioned,,,,550,550,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,160233,Rowden Parade,-0.016651,51.608178,https://maps.london.gov.uk/brownfield-site-register,0.15,not owned by a public authority,,permissioned,,,,30,30,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,162160,676-678 High Road Leytonstone,0.011777,51.568765,https://maps.london.gov.uk/brownfield-site-register,0.15,not owned by a public authority,,permissioned,,,,9,9,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,171712,428 Hale End Road,0.000034,51.607607,https://maps.london.gov.uk/brownfield-site-register,0.03,not owned by a public authority,,permissioned,,,,5,5,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,153229,Gresham Works Rear of 1-3 Mornington Road,0.003544,51.631881,https://maps.london.gov.uk/brownfield-site-register,0.03,not owned by a public authority,,permissioned,,,,9,9,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,174038,The Substation Gainsborough Road,0.011837,51.571093,https://maps.london.gov.uk/brownfield-site-register,0.08,not owned by a public authority,,permissioned,,,,9,9,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,141775,370-372 Grove Green Road,0.002308,51.566382,https://maps.london.gov.uk/brownfield-site-register,0.04,not owned by a public authority,,not permissioned,,,,7,7,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,182249,Naseberry Court 2 Meriam Close SSA11,-0.003594,51.611167,https://maps.london.gov.uk/brownfield-site-register,1.03,owned by a public authority,,pending decision,,,,48,48,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,183989,Juniper House Hoe Street,-0.017506,51.582896,https://maps.london.gov.uk/brownfield-site-register,0.36,owned by a public authority,,pending decision,,,,90,90,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,183424,Webbs Industrial Estate 108 BHL06,-0.038784,51.590574,https://maps.london.gov.uk/brownfield-site-register,1.7,owned by a public authority,,pending decision,,,,235,235,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,182917,Blackhorse Road Car Park (TfL Forest Road Carpark-Part of BHL site 1),-0.042472,51.587407,https://maps.london.gov.uk/brownfield-site-register,0.73,owned by a public authority,,pending decision,,,,350,350,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,160923,Osier Way (Bywaters Waste Site-NOF Site 7 also BEA3),-0.016227,51.558909,https://maps.london.gov.uk/brownfield-site-register,5.16,not owned by a public authority,,permissioned,,,,730,730,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,170893,"Forest Works, 1 Forest Road",-0.042189,51.587933,https://maps.london.gov.uk/brownfield-site-register,1.25,not owned by a public authority,,permissioned,,,,337,337,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,162056,"Standard Music Venue The Tryst, 1 Blackhorse Lane",-0.040784,51.587379,https://maps.london.gov.uk/brownfield-site-register,0.23,not owned by a public authority,,permissioned,,,,50,50,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,180378,30-32 Sutherland Road,-0.038615,51.592828,https://maps.london.gov.uk/brownfield-site-register,0.09,not owned by a public authority,,permissioned,,,,12,12,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,160148,15 Drayton Road,0.002907,51.567873,https://maps.london.gov.uk/brownfield-site-register,0.06,not owned by a public authority,,permissioned,,,,7,7,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,153860,245 Wood Street,-0.000489,51.584385,https://maps.london.gov.uk/brownfield-site-register,0.157,not owned by a public authority,,permissioned,,,,29,29,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,164164,37 Sutherland Road,-0.036928,51.590316,https://maps.london.gov.uk/brownfield-site-register,0.174,not owned by a public authority,,permissioned,,,,28,28,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,173059,480-510 Larkshall Road,-0.000677,51.608227,https://maps.london.gov.uk/brownfield-site-register,0.277,not owned by a public authority,,permissioned,,,,42,42,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,181889,526 High Rd Leytonstone,0.009689,51.562701,https://maps.london.gov.uk/brownfield-site-register,0.065,not owned by a public authority,,permissioned,,,,9,9,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,173437,60-74 Sewardstone Road,-0.012608,51.635436,https://maps.london.gov.uk/brownfield-site-register,0.223,not owned by a public authority,,permissioned,,,,17,17,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,180621,Central House 189-203 Hoe Street,-0.018433,51.583585,https://maps.london.gov.uk/brownfield-site-register,0.091,not owned by a public authority,,permissioned,,,,17,17,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,153261,Former Cinema Buxton Road,-0.030737,51.582618,https://maps.london.gov.uk/brownfield-site-register,0.184,not owned by a public authority,,permissioned,,,,48,48,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,181707,Lemna Road (Job Centre Plus in Leytonstone),0.011507,51.569914,https://maps.london.gov.uk/brownfield-site-register,0.251,not owned by a public authority,,permissioned,,,,30,30,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,171355,Selbourne Walk (The Mall),-0.023758,51.583251,https://maps.london.gov.uk/brownfield-site-register,2.808,not owned by a public authority,,permissioned,,,,502,502,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,173950,"SNA Motors, 2 Skeltons Lane",-0.008946,51.571903,https://maps.london.gov.uk/brownfield-site-register,0.052,not owned by a public authority,,permissioned,,,,8,8,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,162568,Tyndall Gardens 60 Tyndall Road,-0.007793,51.562428,https://maps.london.gov.uk/brownfield-site-register,0.215,not owned by a public authority,,permissioned,,,,14,14,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,180761,92 Leyton Green Road & the Summerfield Centre,-0.007614,51.575899,https://maps.london.gov.uk/brownfield-site-register,0.624,owned by a public authority,,permissioned,,,,22,22,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,180272,"159 Chingford Road, Walthamstow, London, E17 4PN",-0.017482,51.593995,https://maps.london.gov.uk/brownfield-site-register,0.012,not owned by a public authority,,permissioned,,,,6,6,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,173636,"201 High Street, Walthamstow, London, E17 7BH",-0.023575,51.584222,https://maps.london.gov.uk/brownfield-site-register,0.02,not owned by a public authority,,permissioned,,,,8,8,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,151013,463 High Road Leytonstone,0.006597,51.558265,https://maps.london.gov.uk/brownfield-site-register,0.02,not owned by a public authority,,permissioned,,,,5,5,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,172620,"Hand Car Wash, 509-515 High Road Leytonstone",0.007187,51.55971,https://maps.london.gov.uk/brownfield-site-register,0.047,not owned by a public authority,,permissioned,,,,8,8,,,,2020-06-25,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,172133,"Miller House, 30-30a Wilmot Road",-0.013272,51.562748,https://maps.london.gov.uk/brownfield-site-register,0.018,not owned by a public authority,,permissioned,,,,6,6,,,,2020-06-25,
