OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/metropolitan-district-council/trafford,1501,"Simpsons Food Factory, Stretford Road, M41 9WH",-2.329392,53.446622,https://mappinggm.org.uk/gmodin,0.78,not owned by a public authority,,permissioned,,,,58,58,,,2017-12-18,2017-12-18,
http://opendatacommunities.org/id/metropolitan-district-council/trafford,1530,"Former Mosedales Brickworks, 4 Ends Lane, Flixton",-2.39142,53.439729,https://mappinggm.org.uk/gmodin,0.7,not owned by a public authority,,not permissioned,,,,27,27,,,2017-12-18,2017-12-18,
http://opendatacommunities.org/id/metropolitan-district-council/trafford,1552,"Higher Road Depot and Adjoining site, Urmston",-2.348259,53.448698,https://mappinggm.org.uk/gmodin,0.58,owned by a public authority,,not permissioned,,,,22,22,,,2017-12-18,2017-12-18,
http://opendatacommunities.org/id/metropolitan-district-council/trafford,1582,"Regent Road/New Street, Altrincham",-2.352807,53.385217,https://mappinggm.org.uk/gmodin,0.42,owned by a public authority,,not permissioned,,,,21,21,,,2017-12-18,2017-12-18,
http://opendatacommunities.org/id/metropolitan-district-council/trafford,1585,"Oakfield Road/Balmoral Road, Altrincham",-2.344476,53.386796,https://mappinggm.org.uk/gmodin,0.85,not owned by a public authority,,not permissioned,,,,43,43,,,2017-12-18,2017-12-18,
http://opendatacommunities.org/id/metropolitan-district-council/trafford,1586,"Mayors Road/Manors Road, Altrincham",-2.345324,53.385679,https://mappinggm.org.uk/gmodin,0.35,not owned by a public authority,,not permissioned,,,,17,17,,,2017-12-18,2017-12-18,
http://opendatacommunities.org/id/metropolitan-district-council/trafford,1607,"Former Bakemark UK, Skerton Road, Old Trafford",-2.278468,53.459982,https://mappinggm.org.uk/gmodin,2.51,not owned by a public authority,,not permissioned,,,,125,125,,,2017-12-18,2017-12-18,
http://opendatacommunities.org/id/metropolitan-district-council/trafford,1623,"289 Hale Road, Halebarns",-2.316824,53.372356,https://mappinggm.org.uk/gmodin,0.87,not owned by a public authority,,not permissioned,,,,31,31,,,2017-12-18,2017-12-18,
http://opendatacommunities.org/id/metropolitan-district-council/trafford,1677,"Land South of Lostock Road Roundabout, Lostock, Stretford",-2.337729,53.457573,https://mappinggm.org.uk/gmodin,0.38,not owned by a public authority,,not permissioned,,,,15,15,,,2017-12-18,2017-12-18,
http://opendatacommunities.org/id/metropolitan-district-council/trafford,1696,"Land at Oakfield Road (Altair) Moss Lane, Altrincham",-2.346584,53.387159,https://mappinggm.org.uk/gmodin,2.5,not owned by a public authority,,permissioned,,,,150,150,,,2017-12-18,2017-12-18,
http://opendatacommunities.org/id/metropolitan-district-council/trafford,1713,"Moss Vale Crescent, Lostock, Stretford",-2.337462,53.456127,https://mappinggm.org.uk/gmodin,0.37,not owned by a public authority,,not permissioned,,,,14,14,,,2017-12-18,2017-12-18,
http://opendatacommunities.org/id/metropolitan-district-council/trafford,1848-2,"Pomona Docks II, Pomona Stand, Old Trafford",-2.276687,53.466234,https://mappinggm.org.uk/gmodin,1.62,not owned by a public authority,,permissioned,,,,546,546,,,2017-12-18,2017-12-18,
http://opendatacommunities.org/id/metropolitan-district-council/trafford,1888,"Globe Trading Estate, 88-118 Chorlton Road, Old Trafford, M15 4AL",-2.258421,53.46232,https://mappinggm.org.uk/gmodin,1.72,not owned by a public authority,,permissioned,,,,107,107,,,2017-12-18,2017-12-18,
http://opendatacommunities.org/id/metropolitan-district-council/trafford,1988,"Land at Talbot Road, Stretford",-2.298714,53.451898,https://mappinggm.org.uk/gmodin,2.91,not owned by a public authority,,not permissioned,,,,150,150,,,2017-12-18,2017-12-18,
http://opendatacommunities.org/id/metropolitan-district-council/trafford,2082,"Trafalgar House, Manchester Road, Altrincham",-2.351882,53.396995,https://mappinggm.org.uk/gmodin,0.54,not owned by a public authority,,not permissioned,,,,38,38,,,2017-12-18,2017-12-18,
http://opendatacommunities.org/id/metropolitan-district-council/trafford,2084,"Mansion House, Manchester Road, Altrincham",-2.353136,53.397737,https://mappinggm.org.uk/gmodin,0.43,not owned by a public authority,,not permissioned,,,,30,30,,,2017-12-18,2017-12-18,
