OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR1,"Deans Yard, South Road, Baldock",-0.179567,51.986317,,0.32,not owned by a public authority,,not permissioned,,,,20,20,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR2,"Land at Icknield Way, Baldock",-0.191748,51.991793,,0.52,not owned by a public authority,,permissioned,,,,26,26,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR5,"Former B&Q, at junction of Nightingale and Walsworth Road, Hitchin",-0.266051,51.953582,,0.68,not owned by a public authority,,not permissioned,,,,60,60,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR9,"Pixmore Centre, Pixmore Avenue, Letchworth",-0.218193,51.981591,,0.39,not owned by a public authority,,not permissioned,,,,31,31,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR10,"Freeman House, Radburn Way, Letchworth",-0.213363,51.974225,,0.31,,,,,,,8,8,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR11,"Foundation House, Icknield Way, Letchworth",-0.2177,51.985465,,0.78,not owned by a public authority,,permissioned,,,,16,16,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR12,"Glebe Road industrial estate, Letchworth",-0.220563,51.985351,,0.26,not owned by a public authority,,not permissioned,,,,9,9,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR14,"Nursery, Icknield Way, Letchwoth",-0.233765,51.980235,,0.43,not owned by a public authority,,not permissioned,,,,8,8,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR15,"Site at Birds Hill, Letchworth",-0.219165,51.981558,,0.6,not owned by a public authority,,not permissioned,,,,48,48,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR16,"Garages, Icknield Way, Letchworth",-0.236274,51.9793,,0.69,not owned by a public authority,,not permissioned,,,,25,25,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR17,"Former Depot, Icknield Way, Letchworth",-0.211446,51.985554,,0.92,mixed ownership,,not permissioned,,,,55,55,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR18,"Land at Birds Hill, Letchworth",-0.219302,51.982328,,1.07,not owned by a public authority,,not permissioned,,,,86,86,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR19,"Anglian Business Park, Orchard Road, Royston",-0.031709,52.053204,,1.19,not owned by a public authority,,,,,,68,68,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR22,"John Barker Place, Westmill, Hitchin",-0.292035,51.958383,,0.71,not owned by a public authority,,,,,,33,33,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR23,"Block B, Latchmore Court, Hitchin",-0.279521,51.948948,,0.09,not owned by a public authority,,permissioned,,,,13,10,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR25,"Elderley Persons Home, Wratten Road West, Hitchin",-0.283658,51.946118,,0.41,not owned by a public authority,,permissioned,,,,11,11,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR30,"Railway Sidings, St. Michael's Road, Hitchin",-0.260784,51.951837,,3.86,not owned by a public authority,,not permissioned,,,,123,123,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR31,"Bowman's Flour Mill, Ickleford",-0.280737,51.967274,,3.57,not owned by a public authority,,,,,,71,71,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR32,"Oddysey Health Club, Knebworth",-0.191756,51.880974,,4.01,not owned by a public authority,,permissioned,,,,86,86,,,2019-11-28,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR34,"Paul Bromfield Aquatics, Maydencroft Lane, Gosmore",-0.279594,51.92983,,1.59,not owned by a public authority,,permissioned,,,,10,10,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR35,"Former Lannock School, Whiteway, Letchworth",-0.206646,51.969192,,0.21,not owned by a public authority,,permissioned,,,,44,44,,,2017-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR36,"Garden Centre, High Street, Codicote",-0.237592,51.854768,,0.26,not owned by a public authority,,,,,,54,72,,,2018-12-31,2019-12-31,
http://opendatacommunities.org/id/district-council/north-hertfordshire,BR37,Meridian Works Barkway Road Royston Hertfordshire,-0.002592,52.038704,,,not owned by a public authority,,,,,,8,8,,,2019-11-28,2019-12-31,
