OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/dover,,"Coombe Valley Road, Dover",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR61-16.pdf,0.74,,,,,,,,,,Under Construction - forms part of a wider allocated site (LA8 - land in Coombe Valley),2016-06-20,2016-06-20,
http://opendatacommunities.org/id/district-council/dover,,Land north of River Stour & including part of Sandwich Industrial Estate,,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR68-16.pdf,12.2,,,,,,,,,,Under Construction,2016-06-20,2016-06-20,
http://opendatacommunities.org/id/district-council/dover,,"Old Folkestone Road, Aycliffe",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR71-16.pdf,0.15,,,,,,,,,,,2016-06-20,2016-06-20,
http://opendatacommunities.org/id/district-council/dover,,"Discovery Park, Ramsgate Road, Sandwich",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR87-16.pdf,72.3,,,,,,,,,,Not Started - the housing on this site forms part of a wider mixed use application on a predominantly brownfield site. Expiry date extended from 3 years for approval of reserved matters to 10 years from date of decision,2016-06-20,2016-06-20,
http://opendatacommunities.org/id/district-council/dover,,"Former council yard, Molland Lea, Ash",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR89-16.pdf,0.16,,,,,,,,,,,2016-06-20,2016-06-20,
http://opendatacommunities.org/id/district-council/dover,,"The Old Sorting Office, Charlton Green, Dover, CT16 1AP",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR129-16.pdf,0.69,,,,,,,,,,Not Started,2016-06-20,2016-06-20,
http://opendatacommunities.org/id/district-council/dover,,"Albany Place Car Park, Dover",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR130-16.pdf,0.4,,,,,,,,,,,2016-06-20,2016-06-20,
http://opendatacommunities.org/id/district-council/dover,,"Coombe Valley, Dover",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR133-16.pdf,6.78,,,,,,,,,,Allocated site - part of the site has already been granted permission. See BR60-16 and BR61-16 below. A third application on the Former Motorline Line Site in Coombe Valley has been completed https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_213882. Min homes has been adjusted to take account of this.,2016-06-20,2016-06-20,
http://opendatacommunities.org/id/district-council/dover,,"Land off Dunedin Drive, Dover",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR135-16.pdf,0.26,,,,,,,,,,,2016-06-20,2016-06-20,
http://opendatacommunities.org/id/district-council/dover,,"East Studdal Nursery, Downs Road, East Studdal",,,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR171-16.pdf,1,,,,,,,,,,,2016-06-20,2016-06-20,
