row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,20
1,NetDwellingsRangeTo,default,20
2,NetDwellingsRangeFrom,default,16
2,NetDwellingsRangeTo,default,16
3,NetDwellingsRangeFrom,default,12
3,NetDwellingsRangeTo,default,12
4,NetDwellingsRangeFrom,default,6
5,NetDwellingsRangeFrom,default,8
5,NetDwellingsRangeTo,default,8
6,NetDwellingsRangeFrom,default,6
6,NetDwellingsRangeTo,default,6
7,NetDwellingsRangeFrom,default,43
7,NetDwellingsRangeTo,default,43
8,NetDwellingsRangeFrom,default,17
8,NetDwellingsRangeTo,default,17
9,NetDwellingsRangeFrom,default,15
10,NetDwellingsRangeFrom,default,20
11,NetDwellingsRangeFrom,default,16
12,NetDwellingsRangeFrom,default,12
13,NetDwellingsRangeFrom,default,5
14,NetDwellingsRangeFrom,default,6
15,NetDwellingsRangeFrom,default,6
16,NetDwellingsRangeFrom,default,6
17,NetDwellingsRangeFrom,default,20
18,NetDwellingsRangeFrom,default,10
19,NetDwellingsRangeFrom,default,8
19,NetDwellingsRangeTo,default,8
20,NetDwellingsRangeFrom,default,7
20,NetDwellingsRangeTo,default,7
21,NetDwellingsRangeFrom,default,6
22,NetDwellingsRangeFrom,default,6
23,NetDwellingsRangeFrom,default,20
24,NetDwellingsRangeFrom,default,88
24,NetDwellingsRangeTo,default,88
25,NetDwellingsRangeFrom,default,5
26,NetDwellingsRangeFrom,default,25
