row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,10
2,NetDwellingsRangeFrom,default,10
3,NetDwellingsRangeFrom,default,13
4,NetDwellingsRangeFrom,default,25
4,NetDwellingsRangeTo,default,25
5,NetDwellingsRangeFrom,default,1
6,NetDwellingsRangeFrom,default,4
6,NetDwellingsRangeTo,default,4
7,NetDwellingsRangeFrom,default,3
7,NetDwellingsRangeTo,default,3
8,NetDwellingsRangeFrom,default,3
8,NetDwellingsRangeTo,default,3
9,NetDwellingsRangeFrom,default,9
9,NetDwellingsRangeTo,default,9
10,NetDwellingsRangeFrom,default,2
10,NetDwellingsRangeTo,default,2
11,NetDwellingsRangeFrom,default,3
11,NetDwellingsRangeTo,default,3
12,NetDwellingsRangeFrom,default,1
12,NetDwellingsRangeTo,default,1
13,NetDwellingsRangeFrom,default,1
13,NetDwellingsRangeTo,default,1
14,Hectares,minimum,0.00
14,NetDwellingsRangeFrom,default,2
14,NetDwellingsRangeTo,default,2
14,Hectares,missing,
15,NetDwellingsRangeFrom,default,1
15,NetDwellingsRangeTo,default,1
16,NetDwellingsRangeFrom,default,18
17,NetDwellingsRangeFrom,default,2
17,NetDwellingsRangeTo,default,2
18,NetDwellingsRangeFrom,default,1
18,NetDwellingsRangeTo,default,1
19,NetDwellingsRangeFrom,default,1
19,NetDwellingsRangeTo,default,1
20,NetDwellingsRangeFrom,default,1
20,NetDwellingsRangeTo,default,1
21,NetDwellingsRangeFrom,default,36
22,NetDwellingsRangeFrom,default,7
22,NetDwellingsRangeTo,default,7
23,NetDwellingsRangeFrom,default,59
24,NetDwellingsRangeFrom,default,42
24,NetDwellingsRangeTo,default,42
25,NetDwellingsRangeFrom,default,1
26,NetDwellingsRangeFrom,default,16
26,NetDwellingsRangeTo,default,16
27,NetDwellingsRangeFrom,default,2
27,NetDwellingsRangeTo,default,2
28,NetDwellingsRangeFrom,default,3
28,NetDwellingsRangeTo,default,3
29,NetDwellingsRangeFrom,default,14
29,NetDwellingsRangeTo,default,14
30,NetDwellingsRangeFrom,default,3
30,NetDwellingsRangeTo,default,3
31,NetDwellingsRangeFrom,default,28
32,NetDwellingsRangeFrom,default,1
33,NetDwellingsRangeFrom,default,9
34,NetDwellingsRangeFrom,default,16
35,NetDwellingsRangeFrom,default,9
36,NetDwellingsRangeFrom,default,150
37,NetDwellingsRangeFrom,default,8
37,NetDwellingsRangeTo,default,8
38,NetDwellingsRangeFrom,default,7
38,NetDwellingsRangeTo,default,7
39,NetDwellingsRangeFrom,default,1
39,NetDwellingsRangeTo,default,1
40,NetDwellingsRangeFrom,default,1
40,NetDwellingsRangeTo,default,1
41,NetDwellingsRangeFrom,default,1
41,NetDwellingsRangeTo,default,1
42,NetDwellingsRangeFrom,default,2
42,NetDwellingsRangeTo,default,2
43,NetDwellingsRangeFrom,default,17
44,NetDwellingsRangeFrom,default,8
45,NetDwellingsRangeFrom,default,72
46,NetDwellingsRangeFrom,default,50
47,NetDwellingsRangeFrom,default,2
47,NetDwellingsRangeTo,default,2
