row-number,field,issue-type,value
1,OwnershipStatus,OwnershipStatus,Not in Public Ownership
1,SiteNameAddress,missing,
1,NetDwellingsRangeFrom,missing,
1,NetDwellingsRangeTo,missing,
2,OwnershipStatus,OwnershipStatus,Unknown
2,SiteNameAddress,missing,
2,NetDwellingsRangeFrom,missing,
2,NetDwellingsRangeTo,missing,
3,OwnershipStatus,OwnershipStatus,Public Ownership
3,SiteNameAddress,missing,
3,NetDwellingsRangeFrom,missing,
3,NetDwellingsRangeTo,missing,
4,OwnershipStatus,OwnershipStatus,Not in Public Ownership
4,SiteNameAddress,missing,
4,NetDwellingsRangeFrom,missing,
4,NetDwellingsRangeTo,missing,
5,OwnershipStatus,OwnershipStatus,Not in Public Ownership
5,SiteNameAddress,missing,
5,NetDwellingsRangeFrom,missing,
5,NetDwellingsRangeTo,missing,
6,OwnershipStatus,OwnershipStatus,Public Ownership
6,SiteNameAddress,missing,
6,NetDwellingsRangeFrom,missing,
6,NetDwellingsRangeTo,missing,
7,OwnershipStatus,OwnershipStatus,Not in Public Ownership
7,SiteNameAddress,missing,
7,NetDwellingsRangeFrom,missing,
7,NetDwellingsRangeTo,missing,
8,OwnershipStatus,OwnershipStatus,Unknown
8,SiteNameAddress,missing,
8,NetDwellingsRangeFrom,missing,
8,NetDwellingsRangeTo,missing,
9,OwnershipStatus,OwnershipStatus,Public Ownership
9,SiteNameAddress,missing,
9,NetDwellingsRangeFrom,missing,
9,NetDwellingsRangeTo,missing,
10,OwnershipStatus,OwnershipStatus,Not in Public Ownership
10,SiteNameAddress,missing,
10,NetDwellingsRangeFrom,missing,
10,NetDwellingsRangeTo,missing,
11,OwnershipStatus,OwnershipStatus,Unknown
11,SiteNameAddress,missing,
11,NetDwellingsRangeFrom,missing,
11,NetDwellingsRangeTo,missing,
12,OwnershipStatus,OwnershipStatus,Unknown
12,SiteNameAddress,missing,
12,NetDwellingsRangeFrom,missing,
12,NetDwellingsRangeTo,missing,
13,OwnershipStatus,OwnershipStatus,Unknown
13,SiteNameAddress,missing,
13,NetDwellingsRangeFrom,missing,
13,NetDwellingsRangeTo,missing,
14,OwnershipStatus,OwnershipStatus,Public Ownership
14,SiteNameAddress,missing,
14,NetDwellingsRangeFrom,missing,
14,NetDwellingsRangeTo,missing,
15,OwnershipStatus,OwnershipStatus,Public Ownership
15,SiteNameAddress,missing,
15,NetDwellingsRangeFrom,missing,
15,NetDwellingsRangeTo,missing,
16,OwnershipStatus,OwnershipStatus,Unknown
16,SiteNameAddress,missing,
16,NetDwellingsRangeFrom,missing,
16,NetDwellingsRangeTo,missing,
17,OwnershipStatus,OwnershipStatus,Not in Public Ownership
17,SiteNameAddress,missing,
17,NetDwellingsRangeFrom,missing,
17,NetDwellingsRangeTo,missing,
18,OwnershipStatus,OwnershipStatus,Public Ownership
18,SiteNameAddress,missing,
18,NetDwellingsRangeFrom,missing,
18,NetDwellingsRangeTo,missing,
19,OwnershipStatus,OwnershipStatus,Unknown
19,SiteNameAddress,missing,
19,NetDwellingsRangeFrom,missing,
19,NetDwellingsRangeTo,missing,
20,OwnershipStatus,OwnershipStatus,Public Ownership
20,SiteNameAddress,missing,
20,NetDwellingsRangeFrom,missing,
20,NetDwellingsRangeTo,missing,
21,OwnershipStatus,OwnershipStatus,Public Ownership
21,SiteNameAddress,missing,
21,NetDwellingsRangeFrom,missing,
21,NetDwellingsRangeTo,missing,
22,OwnershipStatus,OwnershipStatus,Unknown
22,SiteNameAddress,missing,
22,NetDwellingsRangeFrom,missing,
22,NetDwellingsRangeTo,missing,
23,OwnershipStatus,OwnershipStatus,Unknown
23,SiteNameAddress,missing,
23,NetDwellingsRangeFrom,missing,
23,NetDwellingsRangeTo,missing,
24,OwnershipStatus,OwnershipStatus,Public Ownership
24,SiteNameAddress,missing,
24,NetDwellingsRangeFrom,missing,
24,NetDwellingsRangeTo,missing,
