row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,59
2,NetDwellingsRangeFrom,default,75
3,NetDwellingsRangeFrom,default,20
4,NetDwellingsRangeFrom,default,5
5,NetDwellingsRangeFrom,default,5
6,NetDwellingsRangeFrom,default,8
7,NetDwellingsRangeFrom,default,3
8,NetDwellingsRangeFrom,default,10
9,NetDwellingsRangeFrom,default,35
10,NetDwellingsRangeFrom,default,16
11,NetDwellingsRangeFrom,default,73
12,NetDwellingsRangeFrom,default,14
13,NetDwellingsRangeFrom,default,49
14,NetDwellingsRangeFrom,default,45
15,NetDwellingsRangeFrom,default,8
16,NetDwellingsRangeFrom,default,850
17,NetDwellingsRangeFrom,default,300
18,NetDwellingsRangeFrom,default,300
19,NetDwellingsRangeFrom,default,80
20,NetDwellingsRangeFrom,default,44
21,NetDwellingsRangeFrom,default,130
22,NetDwellingsRangeFrom,default,10
23,NetDwellingsRangeFrom,default,76
24,NetDwellingsRangeFrom,default,56
25,NetDwellingsRangeFrom,default,20
26,NetDwellingsRangeFrom,default,6
27,NetDwellingsRangeFrom,default,45
28,NetDwellingsRangeFrom,default,15
29,NetDwellingsRangeFrom,default,9
30,NetDwellingsRangeFrom,default,5
31,NetDwellingsRangeFrom,default,27
32,NetDwellingsRangeFrom,default,64
33,NetDwellingsRangeFrom,default,20
34,NetDwellingsRangeFrom,default,25
35,NetDwellingsRangeFrom,default,21
36,NetDwellingsRangeFrom,default,4
37,NetDwellingsRangeFrom,default,5
38,NetDwellingsRangeFrom,default,30
39,NetDwellingsRangeFrom,default,49
40,NetDwellingsRangeFrom,default,47
41,NetDwellingsRangeFrom,default,30
42,NetDwellingsRangeFrom,default,72
43,NetDwellingsRangeFrom,default,140
44,NetDwellingsRangeFrom,default,100
45,NetDwellingsRangeFrom,default,5
46,NetDwellingsRangeFrom,default,8
47,NetDwellingsRangeFrom,default,5
48,NetDwellingsRangeFrom,default,23
49,NetDwellingsRangeFrom,default,9
50,NetDwellingsRangeFrom,default,5
51,NetDwellingsRangeFrom,default,5
52,NetDwellingsRangeFrom,default,7
53,NetDwellingsRangeFrom,default,7
54,NetDwellingsRangeFrom,default,5
55,NetDwellingsRangeFrom,default,13
56,NetDwellingsRangeFrom,default,8
57,NetDwellingsRangeFrom,default,8
58,NetDwellingsRangeFrom,default,20
59,NetDwellingsRangeFrom,default,5
60,NetDwellingsRangeFrom,default,9
61,NetDwellingsRangeFrom,default,6
62,NetDwellingsRangeFrom,default,19
63,NetDwellingsRangeFrom,default,5
64,NetDwellingsRangeFrom,default,16
65,NetDwellingsRangeFrom,default,24
66,NetDwellingsRangeFrom,default,5
67,NetDwellingsRangeFrom,default,9
68,NetDwellingsRangeFrom,default,54
69,NetDwellingsRangeFrom,default,15
70,NetDwellingsRangeFrom,default,5
71,NetDwellingsRangeFrom,default,31
72,NetDwellingsRangeFrom,default,8
73,NetDwellingsRangeFrom,default,34
74,NetDwellingsRangeFrom,default,26
75,NetDwellingsRangeFrom,default,4
76,NetDwellingsRangeFrom,default,51
