row-number,field,issue-type,value
1,LastUpdatedDate,default,2020-06-25
1,OrganisationURI,default,http://opendatacommunities.org/id/district-council/epping-forest
1,Hectares,missing,
1,NetDwellingsRangeFrom,missing,
1,NetDwellingsRangeTo,missing,
2,LastUpdatedDate,default,2020-06-25
2,OrganisationURI,default,http://opendatacommunities.org/id/district-council/epping-forest
2,Hectares,missing,
2,NetDwellingsRangeFrom,missing,
2,NetDwellingsRangeTo,missing,
3,LastUpdatedDate,default,2020-06-25
3,OrganisationURI,default,http://opendatacommunities.org/id/district-council/epping-forest
3,Hectares,missing,
3,NetDwellingsRangeFrom,missing,
3,NetDwellingsRangeTo,missing,
4,LastUpdatedDate,default,2020-06-25
4,OrganisationURI,default,http://opendatacommunities.org/id/district-council/epping-forest
4,Hectares,missing,
4,NetDwellingsRangeFrom,missing,
4,NetDwellingsRangeTo,missing,
5,LastUpdatedDate,default,2020-06-25
5,OrganisationURI,default,http://opendatacommunities.org/id/district-council/epping-forest
5,Hectares,missing,
5,NetDwellingsRangeFrom,missing,
5,NetDwellingsRangeTo,missing,
6,LastUpdatedDate,default,2020-06-25
6,OrganisationURI,default,http://opendatacommunities.org/id/district-council/epping-forest
6,Hectares,missing,
6,NetDwellingsRangeFrom,missing,
6,NetDwellingsRangeTo,missing,
7,LastUpdatedDate,default,2020-06-25
7,OrganisationURI,default,http://opendatacommunities.org/id/district-council/epping-forest
7,Hectares,missing,
7,NetDwellingsRangeFrom,missing,
7,NetDwellingsRangeTo,missing,
8,LastUpdatedDate,default,2020-06-25
8,OrganisationURI,default,http://opendatacommunities.org/id/district-council/epping-forest
8,Hectares,missing,
8,NetDwellingsRangeFrom,missing,
8,NetDwellingsRangeTo,missing,
9,LastUpdatedDate,default,2020-06-25
9,OrganisationURI,default,http://opendatacommunities.org/id/district-council/epping-forest
9,Hectares,missing,
9,NetDwellingsRangeFrom,missing,
9,NetDwellingsRangeTo,missing,
10,LastUpdatedDate,default,2020-06-25
10,OrganisationURI,default,http://opendatacommunities.org/id/district-council/epping-forest
10,Hectares,missing,
10,NetDwellingsRangeFrom,missing,
10,NetDwellingsRangeTo,missing,
11,LastUpdatedDate,default,2020-06-25
11,OrganisationURI,default,http://opendatacommunities.org/id/district-council/epping-forest
11,Hectares,missing,
11,NetDwellingsRangeFrom,missing,
11,NetDwellingsRangeTo,missing,
12,LastUpdatedDate,default,2020-06-25
12,OrganisationURI,default,http://opendatacommunities.org/id/district-council/epping-forest
12,Hectares,missing,
12,NetDwellingsRangeFrom,missing,
12,NetDwellingsRangeTo,missing,
13,LastUpdatedDate,default,2020-06-25
13,OrganisationURI,default,http://opendatacommunities.org/id/district-council/epping-forest
13,Hectares,missing,
