row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,19
2,NetDwellingsRangeFrom,default,28
3,NetDwellingsRangeFrom,default,80
4,NetDwellingsRangeFrom,default,150
5,NetDwellingsRangeFrom,default,13
6,NetDwellingsRangeFrom,default,5
7,NetDwellingsRangeFrom,default,52
8,NetDwellingsRangeFrom,default,84
9,NetDwellingsRangeFrom,default,8
10,NetDwellingsRangeFrom,default,16
11,NetDwellingsRangeFrom,default,6
12,OwnershipStatus,OwnershipStatus,unknown ownership
12,NetDwellingsRangeFrom,default,224
13,NetDwellingsRangeFrom,default,8
14,NetDwellingsRangeFrom,default,5
15,NetDwellingsRangeFrom,default,5
16,NetDwellingsRangeFrom,default,1
17,NetDwellingsRangeFrom,default,8
18,NetDwellingsRangeFrom,default,2
19,NetDwellingsRangeFrom,default,20
20,NetDwellingsRangeFrom,default,-15
21,NetDwellingsRangeFrom,default,4
22,NetDwellingsRangeFrom,default,5
23,NetDwellingsRangeFrom,default,7
24,NetDwellingsRangeFrom,default,17
25,NetDwellingsRangeFrom,default,9
26,NetDwellingsRangeFrom,default,11
27,NetDwellingsRangeFrom,default,5
28,NetDwellingsRangeFrom,default,5
29,NetDwellingsRangeFrom,default,4
30,NetDwellingsRangeFrom,default,3
31,NetDwellingsRangeFrom,default,7
32,NetDwellingsRangeFrom,default,4
33,NetDwellingsRangeFrom,default,4
34,NetDwellingsRangeFrom,default,6
35,NetDwellingsRangeFrom,default,5
36,NetDwellingsRangeFrom,default,49
37,NetDwellingsRangeFrom,default,28
38,NetDwellingsRangeFrom,default,13
39,NetDwellingsRangeFrom,default,4
40,NetDwellingsRangeFrom,default,87
41,NetDwellingsRangeFrom,default,6
42,NetDwellingsRangeFrom,default,1
43,NetDwellingsRangeFrom,default,7
44,NetDwellingsRangeFrom,default,5
45,NetDwellingsRangeFrom,default,8
46,NetDwellingsRangeFrom,default,9
47,NetDwellingsRangeFrom,default,587
48,NetDwellingsRangeFrom,default,6
49,NetDwellingsRangeFrom,default,5
50,NetDwellingsRangeFrom,default,-1
51,NetDwellingsRangeFrom,default,46
52,NetDwellingsRangeFrom,default,2
53,NetDwellingsRangeFrom,default,106
54,NetDwellingsRangeFrom,default,62
55,NetDwellingsRangeFrom,default,18
56,NetDwellingsRangeFrom,default,6
57,NetDwellingsRangeFrom,default,3
58,NetDwellingsRangeFrom,default,7
59,NetDwellingsRangeFrom,default,17
60,NetDwellingsRangeFrom,default,7
61,NetDwellingsRangeFrom,default,9
62,NetDwellingsRangeFrom,default,32
63,NetDwellingsRangeFrom,default,43
64,NetDwellingsRangeFrom,default,179
