row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,14
2,NetDwellingsRangeFrom,default,58
3,NetDwellingsRangeFrom,default,35
4,NetDwellingsRangeFrom,default,15
5,NetDwellingsRangeFrom,default,8
6,NetDwellingsRangeFrom,default,17
7,NetDwellingsRangeFrom,default,27
8,NetDwellingsRangeFrom,default,45
9,NetDwellingsRangeFrom,default,7
10,NetDwellingsRangeFrom,default,14
11,NetDwellingsRangeFrom,default,16
12,NetDwellingsRangeFrom,default,6
13,NetDwellingsRangeFrom,default,5
14,NetDwellingsRangeFrom,default,5
15,NetDwellingsRangeFrom,default,6
16,OwnershipStatus,OwnershipStatus,unknown ownership
16,NetDwellingsRangeFrom,default,143
17,NetDwellingsRangeFrom,default,14
18,NetDwellingsRangeFrom,default,12
19,NetDwellingsRangeFrom,default,5
20,NetDwellingsRangeFrom,default,5
21,NetDwellingsRangeFrom,default,8
22,NetDwellingsRangeFrom,default,5
23,NetDwellingsRangeFrom,default,12
24,NetDwellingsRangeFrom,default,8
25,NetDwellingsRangeFrom,default,5
26,NetDwellingsRangeFrom,default,8
27,NetDwellingsRangeFrom,default,6
28,NetDwellingsRangeFrom,default,8
29,NetDwellingsRangeFrom,default,8
30,NetDwellingsRangeFrom,default,7
31,NetDwellingsRangeFrom,default,144
32,NetDwellingsRangeFrom,default,8
33,NetDwellingsRangeFrom,default,28
34,NetDwellingsRangeFrom,default,39
