row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,64
1,LastUpdatedDate,default,2016-11-07
2,NetDwellingsRangeFrom,default,1385
2,LastUpdatedDate,default,2016-11-07
3,NetDwellingsRangeFrom,default,133
3,LastUpdatedDate,default,2016-11-07
4,NetDwellingsRangeFrom,default,85
4,LastUpdatedDate,default,2016-11-07
5,NetDwellingsRangeFrom,default,7
5,LastUpdatedDate,default,2016-11-07
6,NetDwellingsRangeFrom,default,9
6,LastUpdatedDate,default,2016-11-07
7,NetDwellingsRangeFrom,default,13
7,LastUpdatedDate,default,2016-11-07
8,NetDwellingsRangeFrom,default,130
8,LastUpdatedDate,default,2017-12-19
9,NetDwellingsRangeFrom,default,25
9,LastUpdatedDate,default,2016-11-07
10,NetDwellingsRangeFrom,default,18
10,LastUpdatedDate,default,2016-11-07
11,NetDwellingsRangeFrom,default,127
11,LastUpdatedDate,default,2016-11-07
12,NetDwellingsRangeFrom,default,17
12,LastUpdatedDate,default,2016-11-07
13,NetDwellingsRangeFrom,default,62
13,LastUpdatedDate,default,2016-11-07
14,NetDwellingsRangeFrom,default,21
14,LastUpdatedDate,default,2016-11-07
15,NetDwellingsRangeFrom,default,59
15,LastUpdatedDate,default,2016-11-07
16,NetDwellingsRangeFrom,default,100
16,LastUpdatedDate,default,2016-11-07
17,NetDwellingsRangeFrom,default,70
17,LastUpdatedDate,default,2016-11-07
18,NetDwellingsRangeFrom,default,17
18,LastUpdatedDate,default,2016-11-07
19,NetDwellingsRangeFrom,default,30
19,LastUpdatedDate,default,2016-11-07
20,NetDwellingsRangeFrom,default,171
20,LastUpdatedDate,default,2016-11-07
21,NetDwellingsRangeFrom,default,13
21,LastUpdatedDate,default,2016-11-07
22,NetDwellingsRangeFrom,default,54
22,LastUpdatedDate,default,2016-11-07
23,NetDwellingsRangeFrom,default,50
23,LastUpdatedDate,default,2016-11-07
24,NetDwellingsRangeFrom,default,12
24,LastUpdatedDate,default,2017-12-19
25,NetDwellingsRangeFrom,default,28
25,LastUpdatedDate,default,2016-11-07
26,NetDwellingsRangeFrom,default,68
26,LastUpdatedDate,default,2016-11-07
27,NetDwellingsRangeFrom,default,7
27,LastUpdatedDate,default,2016-11-07
28,NetDwellingsRangeFrom,default,7
28,LastUpdatedDate,default,2016-11-07
29,NetDwellingsRangeFrom,default,63
29,LastUpdatedDate,default,2017-12-19
30,NetDwellingsRangeFrom,default,28
30,LastUpdatedDate,default,2016-11-07
31,NetDwellingsRangeFrom,default,636
31,LastUpdatedDate,default,2016-11-07
32,NetDwellingsRangeFrom,default,1010
32,LastUpdatedDate,default,2016-11-07
33,NetDwellingsRangeFrom,default,15
33,LastUpdatedDate,default,2016-11-07
34,NetDwellingsRangeFrom,default,244
34,LastUpdatedDate,default,2016-11-07
35,NetDwellingsRangeFrom,default,72
35,LastUpdatedDate,default,2017-12-19
36,NetDwellingsRangeFrom,default,312
36,LastUpdatedDate,default,2016-11-07
37,NetDwellingsRangeFrom,default,428
37,LastUpdatedDate,default,2016-11-07
38,NetDwellingsRangeFrom,default,15
38,LastUpdatedDate,default,2016-11-07
39,NetDwellingsRangeFrom,default,288
39,LastUpdatedDate,default,2016-11-07
40,NetDwellingsRangeFrom,default,87
40,LastUpdatedDate,default,2016-11-07
41,NetDwellingsRangeFrom,default,191
41,LastUpdatedDate,default,2016-11-07
42,NetDwellingsRangeFrom,default,209
42,LastUpdatedDate,default,2016-11-07
43,NetDwellingsRangeFrom,default,25
43,LastUpdatedDate,default,2016-11-07
44,NetDwellingsRangeFrom,default,16
44,LastUpdatedDate,default,2016-11-07
45,NetDwellingsRangeFrom,default,50
45,LastUpdatedDate,default,2016-11-07
46,NetDwellingsRangeFrom,default,14
46,LastUpdatedDate,default,2016-11-07
47,NetDwellingsRangeFrom,default,22
47,LastUpdatedDate,default,2016-11-07
48,NetDwellingsRangeFrom,default,25
48,LastUpdatedDate,default,2016-11-07
49,NetDwellingsRangeFrom,default,50
49,LastUpdatedDate,default,2016-11-07
50,NetDwellingsRangeFrom,default,171
50,LastUpdatedDate,default,2016-11-07
51,NetDwellingsRangeFrom,default,22
51,LastUpdatedDate,default,2016-11-07
52,NetDwellingsRangeFrom,default,93
52,LastUpdatedDate,default,2016-11-07
53,NetDwellingsRangeFrom,default,27
53,LastUpdatedDate,default,2016-11-07
54,NetDwellingsRangeFrom,default,26
54,LastUpdatedDate,default,2016-11-07
55,NetDwellingsRangeFrom,default,49
55,LastUpdatedDate,default,2016-11-07
56,NetDwellingsRangeFrom,default,15
56,LastUpdatedDate,default,2016-11-07
57,NetDwellingsRangeFrom,default,50
57,LastUpdatedDate,default,2016-11-07
58,NetDwellingsRangeFrom,default,35
58,LastUpdatedDate,default,2017-12-19
59,NetDwellingsRangeFrom,default,49
59,LastUpdatedDate,default,2016-11-07
60,NetDwellingsRangeFrom,default,23
60,LastUpdatedDate,default,2016-11-07
61,NetDwellingsRangeFrom,default,44
61,LastUpdatedDate,default,2016-11-07
62,NetDwellingsRangeFrom,default,335
62,LastUpdatedDate,default,2016-11-07
63,NetDwellingsRangeFrom,default,34
63,LastUpdatedDate,default,2016-11-07
64,NetDwellingsRangeFrom,default,14
64,LastUpdatedDate,default,2016-11-07
65,NetDwellingsRangeFrom,default,272
65,LastUpdatedDate,default,2016-11-07
66,NetDwellingsRangeFrom,default,160
66,LastUpdatedDate,default,2016-11-07
67,NetDwellingsRangeFrom,default,57
67,LastUpdatedDate,default,2016-11-07
68,NetDwellingsRangeFrom,default,744
68,LastUpdatedDate,default,2016-11-07
69,NetDwellingsRangeFrom,default,120
69,LastUpdatedDate,default,2016-11-07
70,NetDwellingsRangeFrom,default,72
70,LastUpdatedDate,default,2016-11-07
71,NetDwellingsRangeFrom,default,14
71,LastUpdatedDate,default,2016-11-07
72,NetDwellingsRangeFrom,default,9
72,LastUpdatedDate,default,2016-11-07
73,NetDwellingsRangeFrom,default,96
73,LastUpdatedDate,default,2016-11-07
74,NetDwellingsRangeFrom,default,35
74,LastUpdatedDate,default,2016-11-07
75,NetDwellingsRangeFrom,default,6
75,LastUpdatedDate,default,2016-11-07
76,NetDwellingsRangeFrom,default,26
76,LastUpdatedDate,default,2016-11-07
77,NetDwellingsRangeFrom,default,14
77,LastUpdatedDate,default,2016-11-07
78,NetDwellingsRangeFrom,default,609
78,LastUpdatedDate,default,2016-11-07
79,NetDwellingsRangeFrom,default,27
79,LastUpdatedDate,default,2016-11-07
80,NetDwellingsRangeFrom,default,14
80,LastUpdatedDate,default,2016-11-07
81,NetDwellingsRangeFrom,default,106
81,LastUpdatedDate,default,2016-11-07
82,NetDwellingsRangeFrom,default,296
82,LastUpdatedDate,default,2016-11-07
83,NetDwellingsRangeFrom,default,7
83,LastUpdatedDate,default,2016-11-07
84,NetDwellingsRangeFrom,default,463
84,LastUpdatedDate,default,2016-11-07
85,NetDwellingsRangeFrom,default,15
85,LastUpdatedDate,default,2016-11-07
86,NetDwellingsRangeFrom,default,263
86,LastUpdatedDate,default,2016-11-07
87,NetDwellingsRangeFrom,default,50
87,LastUpdatedDate,default,2016-11-07
88,NetDwellingsRangeFrom,default,77
88,LastUpdatedDate,default,2016-11-07
89,NetDwellingsRangeFrom,default,140
89,LastUpdatedDate,default,2016-11-07
90,NetDwellingsRangeFrom,default,699
90,LastUpdatedDate,default,2016-11-07
91,NetDwellingsRangeFrom,default,1
91,LastUpdatedDate,default,2016-11-07
92,NetDwellingsRangeFrom,default,25
92,LastUpdatedDate,default,2016-11-07
93,NetDwellingsRangeFrom,default,64
93,LastUpdatedDate,default,2016-11-07
94,NetDwellingsRangeFrom,default,15
94,LastUpdatedDate,default,2016-11-07
95,NetDwellingsRangeFrom,default,1
95,LastUpdatedDate,default,2016-11-07
96,NetDwellingsRangeFrom,default,6
96,LastUpdatedDate,default,2016-11-07
97,NetDwellingsRangeFrom,default,33
97,LastUpdatedDate,default,2016-11-07
98,NetDwellingsRangeFrom,default,6
98,LastUpdatedDate,default,2016-11-07
99,NetDwellingsRangeFrom,default,63
99,LastUpdatedDate,default,2016-11-07
100,NetDwellingsRangeFrom,default,97
100,LastUpdatedDate,default,2016-11-07
101,NetDwellingsRangeFrom,default,3
101,LastUpdatedDate,default,2016-11-07
102,NetDwellingsRangeFrom,default,36
102,LastUpdatedDate,default,2016-11-07
103,NetDwellingsRangeFrom,default,23
103,LastUpdatedDate,default,2016-11-07
104,NetDwellingsRangeFrom,default,80
104,LastUpdatedDate,default,2016-11-07
105,NetDwellingsRangeFrom,default,137
105,LastUpdatedDate,default,2016-11-07
106,NetDwellingsRangeFrom,default,121
106,LastUpdatedDate,default,2017-12-19
107,NetDwellingsRangeFrom,default,459
107,LastUpdatedDate,default,2016-11-07
108,NetDwellingsRangeFrom,default,10
108,LastUpdatedDate,default,2017-12-19
109,NetDwellingsRangeFrom,default,122
109,LastUpdatedDate,default,2016-11-07
110,NetDwellingsRangeFrom,default,450
110,LastUpdatedDate,default,2016-11-07
111,NetDwellingsRangeFrom,default,171
111,LastUpdatedDate,default,2016-11-07
112,NetDwellingsRangeFrom,default,61
112,LastUpdatedDate,default,2017-12-19
113,NetDwellingsRangeFrom,default,5
113,LastUpdatedDate,default,2016-11-07
114,NetDwellingsRangeFrom,default,1
114,LastUpdatedDate,default,2016-11-07
115,NetDwellingsRangeFrom,default,41
