row-number,field,issue-type,value
1,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
1,SiteReference,missing,
1,NetDwellingsRangeFrom,missing,
1,NetDwellingsRangeTo,missing,
2,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
2,SiteReference,missing,
2,NetDwellingsRangeFrom,missing,
2,NetDwellingsRangeTo,missing,
3,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
3,SiteReference,missing,
3,NetDwellingsRangeFrom,missing,
3,NetDwellingsRangeTo,missing,
4,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
4,SiteReference,missing,
4,NetDwellingsRangeFrom,missing,
4,NetDwellingsRangeTo,missing,
5,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
5,SiteReference,missing,
5,NetDwellingsRangeFrom,missing,
5,NetDwellingsRangeTo,missing,
6,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
6,SiteReference,missing,
6,NetDwellingsRangeFrom,missing,
6,NetDwellingsRangeTo,missing,
7,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
7,SiteReference,missing,
7,NetDwellingsRangeFrom,missing,
7,NetDwellingsRangeTo,missing,
8,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
8,SiteReference,missing,
8,NetDwellingsRangeFrom,missing,
8,NetDwellingsRangeTo,missing,
9,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
9,SiteReference,missing,
9,NetDwellingsRangeFrom,missing,
9,NetDwellingsRangeTo,missing,
10,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
10,SiteReference,missing,
10,NetDwellingsRangeFrom,missing,
10,NetDwellingsRangeTo,missing,
11,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
11,SiteReference,missing,
11,NetDwellingsRangeFrom,missing,
11,NetDwellingsRangeTo,missing,
12,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
12,SiteReference,missing,
12,NetDwellingsRangeFrom,missing,
12,NetDwellingsRangeTo,missing,
13,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
13,SiteReference,missing,
13,NetDwellingsRangeFrom,missing,
13,NetDwellingsRangeTo,missing,
14,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
14,SiteReference,missing,
14,NetDwellingsRangeFrom,missing,
14,NetDwellingsRangeTo,missing,
15,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
15,SiteReference,missing,
15,NetDwellingsRangeFrom,missing,
15,NetDwellingsRangeTo,missing,
16,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
16,SiteReference,missing,
16,NetDwellingsRangeFrom,missing,
16,NetDwellingsRangeTo,missing,
17,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
17,SiteReference,missing,
17,NetDwellingsRangeFrom,missing,
17,NetDwellingsRangeTo,missing,
18,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
18,SiteReference,missing,
18,NetDwellingsRangeFrom,missing,
18,NetDwellingsRangeTo,missing,
19,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
19,SiteReference,missing,
19,NetDwellingsRangeFrom,missing,
19,NetDwellingsRangeTo,missing,
20,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
20,SiteReference,missing,
20,NetDwellingsRangeFrom,missing,
20,NetDwellingsRangeTo,missing,
21,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
21,SiteReference,missing,
21,NetDwellingsRangeFrom,missing,
21,NetDwellingsRangeTo,missing,
22,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
22,SiteReference,missing,
22,NetDwellingsRangeFrom,missing,
22,NetDwellingsRangeTo,missing,
23,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
23,SiteReference,missing,
23,NetDwellingsRangeFrom,missing,
23,NetDwellingsRangeTo,missing,
24,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
24,SiteReference,missing,
24,NetDwellingsRangeFrom,missing,
24,NetDwellingsRangeTo,missing,
25,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
25,SiteReference,missing,
25,NetDwellingsRangeFrom,missing,
25,NetDwellingsRangeTo,missing,
26,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
26,SiteReference,missing,
26,NetDwellingsRangeFrom,missing,
26,NetDwellingsRangeTo,missing,
27,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
27,SiteReference,missing,
27,NetDwellingsRangeFrom,missing,
27,NetDwellingsRangeTo,missing,
28,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
28,SiteReference,missing,
28,NetDwellingsRangeFrom,missing,
28,NetDwellingsRangeTo,missing,
29,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
29,SiteReference,missing,
29,NetDwellingsRangeFrom,missing,
29,NetDwellingsRangeTo,missing,
30,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
30,SiteReference,missing,
30,NetDwellingsRangeFrom,missing,
30,NetDwellingsRangeTo,missing,
31,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
31,SiteReference,missing,
31,NetDwellingsRangeFrom,missing,
31,NetDwellingsRangeTo,missing,
32,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
32,SiteReference,missing,
32,NetDwellingsRangeFrom,missing,
32,NetDwellingsRangeTo,missing,
33,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
33,SiteReference,missing,
33,NetDwellingsRangeFrom,missing,
33,NetDwellingsRangeTo,missing,
34,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
34,SiteReference,missing,
34,NetDwellingsRangeFrom,missing,
34,NetDwellingsRangeTo,missing,
35,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
35,SiteReference,missing,
35,NetDwellingsRangeFrom,missing,
35,NetDwellingsRangeTo,missing,
36,GeoX,decimal,"622935
(ref for 12/00143/ET only)"
36,GeoY,decimal,"309079
(ref for 12/00143/ET only)"
36,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
36,SiteReference,missing,
36,GeoX,missing,
36,GeoY,missing,
36,NetDwellingsRangeFrom,missing,
36,NetDwellingsRangeTo,missing,
37,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
37,SiteReference,missing,
37,NetDwellingsRangeFrom,missing,
37,NetDwellingsRangeTo,missing,
38,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
38,SiteReference,missing,
38,NetDwellingsRangeFrom,missing,
38,NetDwellingsRangeTo,missing,
39,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
39,SiteReference,missing,
39,NetDwellingsRangeFrom,missing,
39,NetDwellingsRangeTo,missing,
40,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
40,SiteReference,missing,
40,NetDwellingsRangeFrom,missing,
40,NetDwellingsRangeTo,missing,
41,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
41,SiteReference,missing,
41,NetDwellingsRangeFrom,missing,
41,NetDwellingsRangeTo,missing,
42,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
42,SiteReference,missing,
42,NetDwellingsRangeFrom,missing,
42,NetDwellingsRangeTo,missing,
43,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
43,SiteReference,missing,
43,NetDwellingsRangeFrom,missing,
43,NetDwellingsRangeTo,missing,
44,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
44,SiteReference,missing,
44,NetDwellingsRangeFrom,missing,
44,NetDwellingsRangeTo,missing,
45,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
45,SiteReference,missing,
45,NetDwellingsRangeFrom,missing,
45,NetDwellingsRangeTo,missing,
46,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
46,SiteReference,missing,
46,NetDwellingsRangeFrom,missing,
46,NetDwellingsRangeTo,missing,
47,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
47,SiteReference,missing,
47,NetDwellingsRangeFrom,missing,
47,NetDwellingsRangeTo,missing,
48,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
48,SiteReference,missing,
48,NetDwellingsRangeFrom,missing,
48,NetDwellingsRangeTo,missing,
49,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
49,SiteReference,missing,
49,NetDwellingsRangeFrom,missing,
49,NetDwellingsRangeTo,missing,
50,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
50,SiteReference,missing,
50,NetDwellingsRangeFrom,missing,
50,NetDwellingsRangeTo,missing,
51,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
51,SiteReference,missing,
51,NetDwellingsRangeFrom,missing,
51,NetDwellingsRangeTo,missing,
52,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
52,SiteReference,missing,
52,NetDwellingsRangeFrom,missing,
52,NetDwellingsRangeTo,missing,
53,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
53,SiteReference,missing,
53,NetDwellingsRangeFrom,missing,
53,NetDwellingsRangeTo,missing,
54,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
54,SiteReference,missing,
54,NetDwellingsRangeFrom,missing,
54,NetDwellingsRangeTo,missing,
55,OrganisationURI,default,http://opendatacommunities.org/id/district-council/norwich
55,SiteReference,missing,
55,NetDwellingsRangeFrom,missing,
