row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,6
2,NetDwellingsRangeFrom,default,184
3,NetDwellingsRangeFrom,default,10
4,NetDwellingsRangeFrom,default,6
5,NetDwellingsRangeFrom,default,9
6,NetDwellingsRangeFrom,default,22
7,PlanningStatus,PlanningStatus,Not permisioned
7,NetDwellingsRangeFrom,default,8
8,NetDwellingsRangeFrom,default,21
9,PlanningStatus,PlanningStatus,Not permisioned
9,NetDwellingsRangeFrom,default,67
10,PlanningStatus,PlanningStatus,Not permisioned
10,NetDwellingsRangeFrom,default,35
11,NetDwellingsRangeFrom,default,8
12,NetDwellingsRangeFrom,default,5
13,NetDwellingsRangeFrom,default,30
14,NetDwellingsRangeFrom,default,12
15,NetDwellingsRangeFrom,default,6
16,NetDwellingsRangeFrom,default,80
17,NetDwellingsRangeFrom,default,7
18,NetDwellingsRangeFrom,default,11
19,NetDwellingsRangeFrom,default,11
20,NetDwellingsRangeFrom,default,6
21,NetDwellingsRangeFrom,default,6
22,NetDwellingsRangeFrom,default,5
23,NetDwellingsRangeFrom,default,6
24,NetDwellingsRangeFrom,default,6
25,NetDwellingsRangeFrom,default,7
26,NetDwellingsRangeFrom,default,13
27,NetDwellingsRangeFrom,default,5
28,NetDwellingsRangeFrom,default,7
29,NetDwellingsRangeFrom,default,15
30,NetDwellingsRangeFrom,default,10
31,NetDwellingsRangeFrom,default,5
32,NetDwellingsRangeFrom,default,39
33,NetDwellingsRangeFrom,default,9
34,NetDwellingsRangeFrom,default,9
35,PlanningStatus,PlanningStatus,Not permisioned
35,NetDwellingsRangeFrom,default,5
36,PlanningStatus,PlanningStatus,Not permisioned
36,NetDwellingsRangeFrom,default,6
37,PlanningStatus,PlanningStatus,Not permisioned
37,NetDwellingsRangeFrom,default,6
38,PlanningStatus,PlanningStatus,Not permisioned
38,NetDwellingsRangeFrom,default,6
39,PlanningStatus,PlanningStatus,Not permisioned
39,NetDwellingsRangeFrom,default,7
40,PlanningStatus,PlanningStatus,Not permisioned
40,NetDwellingsRangeFrom,default,8
41,PlanningStatus,PlanningStatus,Not permisioned
41,NetDwellingsRangeFrom,default,8
42,PlanningStatus,PlanningStatus,Not permisioned
42,NetDwellingsRangeFrom,default,8
43,NetDwellingsRangeFrom,default,21
44,PlanningStatus,PlanningStatus,Not permisioned
44,NetDwellingsRangeFrom,default,12
45,PlanningStatus,PlanningStatus,Not permisioned
45,NetDwellingsRangeFrom,default,13
46,PlanningStatus,PlanningStatus,Not permisioned
46,NetDwellingsRangeFrom,default,13
47,NetDwellingsRangeFrom,default,22
48,PlanningStatus,PlanningStatus,Not permisioned
48,NetDwellingsRangeFrom,default,14
49,PlanningStatus,PlanningStatus,Not permisioned
49,NetDwellingsRangeFrom,default,14
50,PlanningStatus,PlanningStatus,Not permisioned
50,NetDwellingsRangeFrom,default,17
51,NetDwellingsRangeFrom,default,17
52,PlanningStatus,PlanningStatus,Not permisioned
52,NetDwellingsRangeFrom,default,18
53,PlanningStatus,PlanningStatus,Not permisioned
53,NetDwellingsRangeFrom,default,90
54,NetDwellingsRangeFrom,default,175
55,NetDwellingsRangeFrom,default,34
56,PlanningStatus,PlanningStatus,Not permisioned
56,NetDwellingsRangeFrom,default,35
57,NetDwellingsRangeFrom,default,213
58,NetDwellingsRangeFrom,default,35
59,PlanningStatus,PlanningStatus,Not permisioned
59,NetDwellingsRangeFrom,default,70
60,PlanningStatus,PlanningStatus,Not permisioned
60,NetDwellingsRangeFrom,default,160
61,PlanningStatus,PlanningStatus,Not permisioned
61,NetDwellingsRangeFrom,default,160
62,PlanningStatus,PlanningStatus,Not permisioned
62,NetDwellingsRangeFrom,default,25
63,PlanningStatus,PlanningStatus,Not permisioned
63,NetDwellingsRangeFrom,default,90
64,NetDwellingsRangeFrom,default,26
65,PlanningStatus,PlanningStatus,Not permisioned
65,NetDwellingsRangeFrom,default,60
66,NetDwellingsRangeFrom,default,80
67,NetDwellingsRangeFrom,default,149
