address,address-text,deliverable,end-date,entry-date,hazardous-substances,hectares,latitude,longitude,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,site-plan-url,start-date
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/stevenage,Stevenage Borough Council,714,Archer Road NC,525018.0,225012.0,Site boundary map,0.5,Owned by a public authority,,Permissioned,,,,24.0,,,,,2017-11-03,2017-11-03,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/stevenage,Stevenage Borough Council,721,Bedwell Crescent Neighbourhood Centre,524695.0,224181.0,Site boundary map,1.62,Owned by a public authority,,Not permissioned,,,,45.0,,,,,2017-11-03,2017-11-03,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/stevenage,Stevenage Borough Council,707,Burwell Road Neighbourhood Centre,525978.0,223671.0,Site boundary map,0.66,Owned by a public authority,,Pending decision,,,,20.0,,,,,2017-11-03,2017-11-03,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/stevenage,Stevenage Borough Council,,"DuPont (UK) Ltd, Wedgwood Way, SG1 4QN",525899.0,226516.0,Site boundary map,2.22,Not owned by a public authority,,Permissioned,,,,200.0,,,,,2017-11-03,2017-11-03,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/stevenage,Hertfordshire County Council,BFR3,Former Lonsdale School,524783.0,225228.0,Site boundary map,3.8,Owned by a public authority,,Permissioned,,,,67.0,,,,,2017-11-03,2017-11-03,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/stevenage,Stevenage Borough Council,213,"Former Redemption Academy, Eliot Road",526304.0,224976.0,Site boundary map,0.28,Owned by a public authority,,Not permissioned,,,,16.0,,,,,2017-11-03,2017-11-03,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/stevenage,Stevenage Borough Council,214,"Fry Road day nursery, Fry Road",525973.0,224235.0,Site boundary map,0.29,Owned by a public authority,,Not permissioned,,,,6.0,,,,,2017-11-03,2017-11-03,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/stevenage,Stevenage Borough Council,107,"Ken Brown car showroom, Shephall Way",525714.0,223798.0,Site boundary map,0.29,Not owned by a public authority,,Not permissioned,,,,36.0,,,,,2017-11-03,2017-11-03,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/stevenage,Stevenage Borough Council,701,Kenilworth Close Neighbourhood Centre,526307.0,221172.0,Site boundary map,0.63,Owned by a public authority,,Not permissioned,,,,65.0,,,,,2017-11-03,2017-11-03,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/stevenage,Stevenage Borough Council,217,Longfield Fire and Rescue,522915.0,225934.0,Site boundary map,2.67,Owned by a public authority,,Pending decision,,,,95.0,,,,,2017-11-03,2017-11-03,,,
