address,address-text,deliverable,end-date,entry-date,hazardous-substances,hectares,latitude,longitude,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,site-plan-url,start-date
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,1,"""Former Mansfield Brewery (part B), Great Central Road, Mansfield""",53.14,-1.19,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9535&p=0,0.76,Not owned by a public authority,,Permissioned,,,,20,,30,,2017/0631/PIP,26/09/2017,13/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,2,"""Former Mansfield General Hospital, West Hill Drive, Mansfield""",53.15,-1.2,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,1.11,Owned by a public authority,,Permissioned,,,,54,,,,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,33,"""Wood Lane (Miners Welfare), Wood Lane, Church Warsop""",53.21,-1.17,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9536&p=0,1.05,Not owned by a public authority,,Permissioned,,,,25,,35,,2017/0633/PIP,26/09/2017,13/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,54,"""Former Evans Halshaw site, Nottingham Road, Mansfield""",53.12,-1.19,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,1.92,Not owned by a public authority,,Permissioned,,,,66,,,,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,68,"""Kirkland Avenue Industrial Park, Kirkland Avenue, Mansfield""",53.14,-1.21,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9537&p=0,0.7,Not owned by a public authority,,Permissioned,,,,15,,25,,2017/0636/PIP,26/09/2017,13/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,75,"""Former Mansfield Hosiery Mill Car Park & Electricity Board workshops & social club, Botany Avenue, Mansfield""",53.14,-1.21,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9538&p=0,0.97,Not owned by a public authority,,Permissioned,,,,25,,35,,2017/0637/PIP,26/09/2017,13/12/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,86,"""Land at the corner of Quarry Lane, Mansfield., Quarry Lane, Mansfield""",53.13,-1.21,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.25,Not owned by a public authority,,Permissioned,,,,21,,,,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,92,"""Pleasley Hill Regeneration Area, Chesterfield Road North, Pleasley""",53.17,-1.24,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,3.81,Not owned by a public authority,,Permissioned,,,,151,,,,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,95,"""Vauxhall Garage, Sutton Road, Mansfield""",53.14,-1.22,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.87,Not owned by a public authority,,Permissioned,,,,41,,,,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,96,"""Land at Hermitage Lane, Mansfield""",53.14,-1.22,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.9,Not owned by a public authority,,Permissioned,,,,25,,,,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,99,"""18 Burns Street, Mansfield""",53.15,-1.21,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.17,Not owned by a public authority,,Pending decision,,,,21,,,,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,105,"""Land at 7 Oxclose Lane, Grosvenor Close, Mansfield Woodhouse""",53.16,-1.2,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.45,Not owned by a public authority,,Permissioned,,,,17,,,,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,106,"""Former Mansfield Sand Co, Sandhurst Avenue, Mansfield""",53.13,-1.19,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,3.35,Not owned by a public authority,,Permissioned,,,,107,,,,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,109,"""Land off Sutton Road, Mansfield""",53.13,-1.23,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.21,Not owned by a public authority,,Permissioned,,,,10,,,,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,156,"""Former Miners Offices, Berry Hill Lane, Mansfield""",53.13,-1.18,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.93,Not owned by a public authority,,Permissioned,,,,18,,,,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,164,"""Former garage site Alexandra Avenue, Mansfield""",53.17,-1.2,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.19,Not owned by a public authority,,Permissioned,,,,5,,,,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,168,"""10A Montague Street, Montague Street, Mansfield""",53.14,-1.18,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.11,Owned by a public authority,,Permissioned,,,,8,,,,,26/09/2017,26/09/2017,,,
,,,,,,,,,,,,,,,,,,,,Mansfield District Council,185,"""52, Ratcliffe Gate, Ratcliffe Gate, Mansfield""",53.14,-1.19,,0.19,,,Permissioned,,,,9,,,,,,,,,
