address,address-text,deliverable,end-date,entry-date,hazardous-substances,hectares,latitude,longitude,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,site-plan-url,start-date
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,Carden Street Opportunity Zone,52.19044,-2.215937,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Carden%20Street%20Opportunity%20Zone%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,3.9,mixed ownership,,not permissioned,,,,,,,,,04/08/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,Shrub Hill Opportunity Zone,52.195266,-2.211276,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Shrub%20Hill%20Opportunity%20Zone%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,19.72,not owned by a public authority,,not permissioned,,,,,,,,,04/08/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,23-24 Foregate Street,52.196156,-2.221975,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=23-24%20Foregate%20Street.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.1,not owned by a public authority,,not permissioned,,,,10,,10,,,04/08/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,"Commandery Coach Depot, Tolladine Road",52.207448,-2.180756,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Commandery%20Coach%20Depot%2C%20Tolladine%20Road%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.07,not owned by a public authority,,not permissioned,,,,7,,7,,,04/08/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,Rose Avenue,52.198356,-2.201603,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Rose%20Avenue%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.18,not owned by a public authority,,not permissioned,,,,8,,8,,,04/08/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,"The Bridge Inn, Lowesmoor Terrace",52.195967,-2.215645,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=The%20Bridge%20Inn%2C%20Lowesmoor%20Terrace%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.1,not owned by a public authority,,not permissioned,,,,9,,9,,,04/08/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,79 St Johns,52.186872,-2.235188,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=79%20St%20Johns%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.05,not owned by a public authority,,pending decision,,,,10,,10,,,04/08/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,"Former Club House, Tolladine Golf Course",52.199268,-2.188366,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Former%20Club%20House%20Tolladine%20Golf%20Course%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.5,not owned by a public authority,,not permissioned,,,,15,,15,,,04/08/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,"Laugherne Garage, Bransford Road",52.183961,-2.253973,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Bransford%20Road%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.44,not owned by a public authority,,not permissioned,,,,10,,10,,,04/08/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,"County Council Offices, Bilford Road",52.213017,-2.216007,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Bilford%20Road%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.67,owned by a public authority,,not permissioned,,,,20,,20,,,04/08/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,"County Council Offices, Sherwood Lane",52.17502,-2.237981,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Sherwood%20Lane%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.5,owned by a public authority,,not permissioned,,,,30,,30,,,04/08/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,"Malvern Gate, Bromwich Road",52.173761,-2.234108,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Malvern%20Gate%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,1.28,not owned by a public authority,,not permissioned,,,,55,,55,,,04/08/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,Lowesmoor Wharf,52.195718,-2.216588,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Lowesmoor%20Wharf%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,1.14,not owned by a public authority,,not permissioned,,,,100,,100,,,04/08/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,73-77 Bromwich Road,52.183613,-2.230961,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Western%20Power%20Distribution%20Power%20Depot%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.14,not owned by a public authority,,not permissioned,,,,11,,11,,,04/08/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,"Old Brewery Service Station, Barbourne Road",52.202013,-2.2261,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Old%20Brewery%20Service%20Station%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.14,not owned by a public authority,,not permissioned,,,,18,,18,,,04/08/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,Former Sansome Walk Swimming Pool,52.199018,-2.220537,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Sansome%20Walk%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.8,owned by a public authority,,not permissioned,,,,50,,35,,,04/08/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,Ribble Close & Gas Holder Site,52.190268,-2.203305,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Ribble%20Close%20-%20Site%20Plan.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,1.2,not owned by a public authority,,not permissioned,,,,50,,50,,,04/08/2017,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,24a McIntrye Road,52.19055,-2.24061,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=24a%20McIntyre%20Road.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.08,not owned by a public authority,,permissioned,,,,5,,5,,,20/12/2018,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,Former Worcester Fire Station,52.190562,-2.221496,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Former%20Fire%20Station.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.16,not owned by a public authority,,permissioned,,,,9,,9,,,20/12/2018,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,Land adjacent to 18-20 Silver Street,52.19416,-2.2183,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Land%20adj%20to%2018-20%20Silver%20Street.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.05,not owned by a public authority,,permissioned,,,,9,,10,,,20/12/2018,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,137 Bath Road,52.18174,-2.21696,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=137%20Bath%20Road.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.13,not owned by a public authority,,permissioned,,,,5,,5,,,20/12/2018,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,Wyatt Guest House 40 Barbourne Road,52.20268,-2.22592,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Wyatt%20Guest%20House%2040%20Barbourne%20Road.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.02,not owned by a public authority,,permissioned,,,,6,,6,,,20/12/2018,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,"YMCA Hostel, Henwick Road",52.19297,-2.23613,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=YMCA%20Hostel%2C%20Henwick%20Road.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.97,not owned by a public authority,,permissioned,,,,63,,87,,,20/12/2018,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,The Crown and Anchor 223 Hylton Road,52.1967,-2.23583,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=The%20Crown%20and%20Anchor%20223%20Hylton%20Road.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.03,not owned by a public authority,,permissioned,,,,6,,6,,,20/12/2018,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,Jenkins House 15 Foregate Street,52.19535,-2.22191,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=Jenkins%20House%2015%20Foregate%20Street.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.01,not owned by a public authority,,permissioned,,,,8,,8,,,20/12/2018,17/12/2019,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/district-council/worcester,Worcester City Council,,12 Sansome Place,52.19519,-2.21949,https://www.worcester.gov.uk/?option=com_fileman&view=file&routed=1&name=12%20Sansome%20Place.pdf&folder=PDF%20Documents%2FPlanning%2Fplanning_policy%2Fbrownfieldsites&container=fileman-files,0.01,not owned by a public authority,,permissioned,,,,6,,6,,,20/12/2018,17/12/2019,,,
