address,address-text,deliverable,end-date,entry-date,hazardous-substances,hectares,latitude,longitude,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate,site-plan-url,start-date
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Land to rear of 21-33 Western Avenue, Blacon""",338165,367821,http://consult.cheshirewestandchester.gov.uk/file/4828177,0.29,not owned by a public authority,,not permissioned,,,,16,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Former Highfield Hotel, 99 Saughall Road, Blacon""",338232,367982,http://consult.cheshirewestandchester.gov.uk/file/4828178,0.4,not owned by a public authority,,permissioned,,,,21,,,,"16/01384/OUT
17/00253/REM (pending)",21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""27 Blacon Point Road, Blacon, Chester. CH1 5LD""",338590,367600,http://consult.cheshirewestandchester.gov.uk/file/4828179,0.17,not owned by a public authority,,permissioned,,,,6,,,,11/01876/FUL  12/02648/FUL,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""King Edward Buildings/ Bensons site and surrounding land, Christleton""",342309,366168,http://consult.cheshirewestandchester.gov.uk/file/4828180,0.34,mixed ownership,,not permissioned,,,,11,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Former Deva Service Station, Whitchurch Road, Boughton, Chester""",342627,366138,http://consult.cheshirewestandchester.gov.uk/file/4828181,0.16,not owned by a public authority,,permissioned,,,,12,,,,"13/00343/FUL 14/02356/FUL
16/01706/S73",21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Site of former Boughton St Pauls Infant School, adjacent to superstore, Boughton, Chester""",341411,366593,http://consult.cheshirewestandchester.gov.uk/file/4828182,0.58,not owned by a public authority,,not permissioned,,,,15,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""City House, 36 City Road, Chester""",341240,366701,http://consult.cheshirewestandchester.gov.uk/file/4828183,0.32,not owned by a public authority,,pending decision,,,,23,,,,14/03412/FUL (pending),21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Lead Shot Tower, former Calder Indutsrial Estates, Leadworks Lane, Chester""",341434,366688,http://consult.cheshirewestandchester.gov.uk/file/4828184,0.38,not owned by a public authority,,permissioned,,,,65,,,,04/01548/FUL    07/01274/FUL  12/01543/ful 16/00880/FUL,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Land at Premier House, Chaterhall Drive, Chester""",341522,366754,http://consult.cheshirewestandchester.gov.uk/file/4828185,2.48,not owned by a public authority,,permissioned,,,,200,,,,"12/04895/FUL  14/03317/REM
14/01799/NMA",21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""125-127 Boughton Chester Cheshire CH3 5BH """,341750,366537,http://consult.cheshirewestandchester.gov.uk/file/4828186,0.22,not owned by a public authority,,permissioned,,,,14,,,,16/01011/FUL,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Linenhall car park, Stanley Street, Chester, CH1 2LR""",340217,366302,http://consult.cheshirewestandchester.gov.uk/file/4828187,0.74,not owned by a public authority,,permissioned,,,,202,,,,"13/03210/FUL
17/00530/NMA",21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Black Diamond Street and Hoole Way, Chester""",340980,367019,http://consult.cheshirewestandchester.gov.uk/file/4828188,0.3,not owned by a public authority,,not permissioned,,,,20,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Trafford Street Area, Chester""",340650,366981,http://consult.cheshirewestandchester.gov.uk/file/4828189,1.5,mixed ownership,,not permissioned,,,,42,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""St Anne Street car park, Black Diamond Street, Chester""",340900,366936,http://consult.cheshirewestandchester.gov.uk/file/4828190,0.34,owned by a public authority,,not permissioned,,,,11,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Browns Yard Car Park""",340980,366500,http://consult.cheshirewestandchester.gov.uk/file/4828191,0.28,owned by a public authority,,not permissioned,,,,13,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Northgate Redevelopment Site: Land Bounded By Hunter Street, Northgate Street, Watergate Street And St Martins Way Chester Cheshire""",340355,366387,http://consult.cheshirewestandchester.gov.uk/file/4828192,5.68,mixed ownership,,permissioned,,,,70,,,,"02/00838/FUL   07/00061/S73 10/11534/EXT
16/02282/OUT",21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""New Crane Street Car Park, Chester""",340068,366225,http://consult.cheshirewestandchester.gov.uk/file/4828193,0.33,owned by a public authority,,not permissioned,,,,15,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Former car garage, Lower Bridge Street, Chester""",340661,365925,http://consult.cheshirewestandchester.gov.uk/file/4828194,0.22,not owned by a public authority,,not permissioned,,,,20,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Garden Lane Car Park, Chester""",340300,366806,http://consult.cheshirewestandchester.gov.uk/file/4828195,0.33,owned by a public authority,,not permissioned,,,,6,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""BT Building and Newgate House, St John's Street, Chester""",340853,366258,http://consult.cheshirewestandchester.gov.uk/file/4828196,0.32,not owned by a public authority,,not permissioned,,,,29,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Loves Garage, Garden Lane, Chester""",340244,366772,http://consult.cheshirewestandchester.gov.uk/file/4828197,0.14,not owned by a public authority,,not permissioned,,,,6,,,,,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""Land at corner of Bollands Court / Commonhall Street. Chester""",340438,366145,http://consult.cheshirewestandchester.gov.uk/file/4828198,0.3,not owned by a public authority,,permissioned,,,,15,,,,01/01507/FUL  14/03728/FUL,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""34 Cuppin Street, Chester CH1 2BN""",340415,366040,http://consult.cheshirewestandchester.gov.uk/file/4828199,0.05,not owned by a public authority,,permissioned,,,,13,,,,16/03684/PDO,21/12/2017,,,,
,,,,,,,,,,,,,,,,,,,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,,"""14 - 20 Watergate Street, Chester (within boundary of CHC/0008/H)""",340469,366301,http://consult.cheshirewestandchester.gov.uk/file/4828200,0.1,mixed ownership,,pending decision,,,,23,,,,16/00580/FUL (pending),21/12/2017,,,,
