address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/11/2017,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,15,15,,,,Part of this site was started in 2002,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2001-10-26,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR001,"Glendaragh, Barn Park Road, Teignmouth TQ14 8PN",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=01%2f03478%2fCOU,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/11/2017,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,6,6,,,,Groundworks commenced keeping this live,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2006-03-22,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR002,"Rosemary Avenue, Newton Abbot TQ12 1SB",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=05%2f04278%2fFUL,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/11/2017,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,9,9,,,,started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2008-07-01,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR003,"Platway House, Torquay Road, Shaldon TQ14 0AU",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=08%2f01449%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,16/03/2018,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,9,9,,,,Site completed,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2012-07-31,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR004,"Shapters Yard, Strand Hill, Dawlish EX7 9PS",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=12%2f01811%2fFUL,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/11/2017,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,15,13,,,,started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2013-01-21,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR005,"Former Wolborough Hospital, Old Totnes Road, Newton Abbot TQ12 6AA",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f01497%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,28/08/2018,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,7,7,,,,Site completed,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2014-10-10,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR006,"Holcombe Hall, Holcombe Drive, Dawlish  EX7 0JW",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f02517%2fFUL,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/11/2017,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,5,5,,,,started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2014-10-10,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR007,"14 Barton Villas, Dawlish EX7 9QJ",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f03658%2fFUL,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/11/2017,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,38,38,,,,started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2014-10-10,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR008,"22 - 26 Wolborough Street, Newton Abbot TQ12 1JJ",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=17%2f02715%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/11/2017,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,21,21,,,,2 phase scheme part 1 completed in 2009 - this phase started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2014-10-09,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR009,"Clay Lane, Teignmouth TQ14 8FW",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f01918%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,01/11/2017,,,,,,,,,,,,,,26.45,,,,,,,,,,,,,,,,,,23,23,,,,unimplemented,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2016-06-01,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR010,"land at Ilford Park, Stover, Newton Abbot TQ12 6PW",http://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f02580%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
