address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,local-authority-eng:SBU,,not owned by a public authority,,,,,,,,2016-04-27,,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,SB0005,"''Beaconsfield Garden Centre, London Road, Beaconsfield''",http://www.southbucks.gov.uk/planning/brownfieldregister,,,08/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,11,5,,,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,,,,,,local-authority-eng:SBU,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,SB0032,"''Land North of M40 & South of Hedgerley Lane, including Harrias House''",http://www.southbucks.gov.uk/planning/brownfieldregister,,,08/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,local-authority-eng:SBU,,not owned by a public authority,,,,,,,,2017-11-13,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,SB0034,"''73 High Street and Land to Rear, Burnham''",http://www.southbucks.gov.uk/planning/brownfieldregister,,,08/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,42.95,,,,,,,,,,,,,,,,,,320,130,,,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,,,,,,local-authority-eng:SBU,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,SB0043,"''Thorney Business Park, Thorney Lane South''",http://www.southbucks.gov.uk/planning/brownfieldregister,,,08/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,36.89,,,,,,,,,,,,,,,,,,350,350,,,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies and the Supplementary Planning Document guidance will apply to any future development proposals.,,,,,,local-authority-eng:SBU,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,SB0055,"''Wilton Park Land Parcel 1, Wilton Park''",http://www.southbucks.gov.uk/planning/brownfieldregister,,,08/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,8,6,,,,,,,,,,local-authority-eng:SBU,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,SB0285,"''4a The Broadway, Farnham Common, ''",http://www.southbucks.gov.uk/planning/brownfieldregister,,,08/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,13.55,,,,,,,,,,,,,,,,,,11,8,,,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies and the Supplementary Planning Document guidance will apply to any future development proposals.,,,,,,local-authority-eng:SBU,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,SB0320,"''Bulstrode, Oxford Road, Gerrards Cross, ''",http://www.southbucks.gov.uk/planning/brownfieldregister,,,08/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,10,5,,,,,,,,,,local-authority-eng:SBU,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,SB0339,"''53 Huntercombe Lane, Burnham, ''",http://www.southbucks.gov.uk/planning/brownfieldregister,,,08/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,23,23,,,,,,,,,,local-authority-eng:SBU,,not owned by a public authority,,,,,,,,2015-11-12,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,SB0387,"''77 Stomp Road, Burnham''",http://www.southbucks.gov.uk/planning/brownfieldregister,,,08/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,5,5,,,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies and the Supplementary Planning Document guidance will apply to any future development proposals.,,,,,,local-authority-eng:SBU,,not owned by a public authority,,,,,,,,2015-06-25,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,SB0391,"''Old Slade Farm, 41 Old Slade Lane, Iver''",http://www.southbucks.gov.uk/planning/brownfieldregister,,,08/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,32,32,,,,,,,,,,local-authority-eng:SBU,,not owned by a public authority,,,,,,,,2018-03-07,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,SB0418,"''Aston House, 62-68 Oak End Way, Gerrards Cross''",http://www.southbucks.gov.uk/planning/brownfieldregister,,,08/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,local-authority-eng:SBU,,not owned by a public authority,,,,,,,,2016-07-15,,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,SB0419,"''Land Rear of St. Johns Church, Victoria Road, Farnham Common''",http://www.southbucks.gov.uk/planning/brownfieldregister,,,08/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,22,22,,,,,,,,,,local-authority-eng:SBU,,not owned by a public authority,,,,,,,,2016-10-10,,permissioned,other,,,,,,,,,,,,,,,,,,,,,,SB0421,"''River Court, 50 Oxford Road, New Denham''",http://www.southbucks.gov.uk/planning/brownfieldregister,,,08/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,34,34,,,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,,,,,,local-authority-eng:SBU,,owned by a public authority,,,,,,,,2018-08-17,,permissioned,other,,,,,,,,,,,,,,,,,,,,,,SB0428,"''Gerrards Cross Police Station, Oxford Road''",http://www.southbucks.gov.uk/planning/brownfieldregister,,,08/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,10,8,,,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,,,,,,local-authority-eng:SBU,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,SB0443,"''Lillyfee Farm, Lillyfee Farm Lane''",http://www.southbucks.gov.uk/planning/brownfieldregister,,,08/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,6,5,,,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,,,,,,local-authority-eng:SBU,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,SB0444,"''Lockwoods Farm, Wooburn Common''",http://www.southbucks.gov.uk/planning/brownfieldregister,,,08/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,2.34,,,,,,,,,,,,,,,,,,30,20,,,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,,,,,,local-authority-eng:SBU,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,SB0446,"''Tendercare Nurseries, Southlands Road''",http://www.southbucks.gov.uk/planning/brownfieldregister,,,08/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2018,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:SBU,,not owned by a public authority,,,,,,,,2017-05-31,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,SB0451,"""The Crown, Farnham Road""",http://www.southbucks.gov.uk/planning/brownfieldregister,,,10/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,
