address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-08-15,,,2019-08-15,,,,,,,,,,,,,,5.69,,,,,,,,,,,,,,,,,,51,40,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,E/ABTE/0001/10,"""Temple Lane, Templecombe""",https://www.southsomerset.gov.uk/media/1578/abte000110.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-08-15,,,2019-08-15,,,,,,,,,,,,,,4.34,,,,,,,,,,,,,,,,,,78,70,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,E/ABTE/0013,"""Manor Farm, Coombe Hill, Templecombe""",https://www.southsomerset.gov.uk/media/1577/abte0013.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-30,,,2020-01-30,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,E/ANSF/0010/,"""Land at Ansford Farm, Cumnock Road, Castle Cary""",https://www.southsomerset.gov.uk/media/1579/ansf0010.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-16,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,32,29,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,E/CACA/1101,"""BMI Site, Cumnock Road, Castle Cary""",https://www.southsomerset.gov.uk/media/1582/caca1101.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-30,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,2,2,,,,Reserved Matters Approval given 2018-02-15 for further 8 dwellings,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,2018-03-23,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,E/CACA/B001,"""Constitutional Club, Station Road, Castle Cary""",https://www.southsomerset.gov.uk/media/1583/cacab001.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-30,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,10,10,,,,outline Permission for 5 dwellings granted 2017-02-23,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,,,pending decision,full planning permission,,,,,,,,,,,,,,,,,,,,,,E/LIMI/B001,"""The Old Forge, Limington""",https://www.southsomerset.gov.uk/media/1595/limib001.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-05,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,2019-06-17,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,E/LOVI/B003,"""Adjoining the Pilgrim's Rest PH, Lovington""",https://www.southsomerset.gov.uk/media/3137/elovib003.pdf,,,2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-30,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,,,pending decision,full planning permission,,,,,,,,,,,,,,,,,,,,,,E/NOCA/B001,"""Harvester Works, Mayfield Close, Galhampton""",https://www.southsomerset.gov.uk/media/1600/nocab001.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-16,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,48,37,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,2017-03-29,,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,E/SPAR/0005/,"""Haynes Publishing, High Street, Sparkford""",https://www.southsomerset.gov.uk/media/1606/spar0005.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-16,,,,,,,,,,,,,,2.73,,,,,,,,,,,,,,,,,,55,49,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,E/WINC/0007/,"""The Tythings, Southgate Road, Wincanton""",https://www.southsomerset.gov.uk/media/1607/winc0007-b001.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-30,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,19,19,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,E/WINC/B001,"""Former Works, Southgate Road, Wincanton""",https://www.southsomerset.gov.uk/media/1608/wincb001.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-04,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,6,6,,,,previous permission granted 2018-10-05,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,2019-08-19,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,N/HAWE/B001,"""Barn Owl Inn, Westport, Langport""",https://www.southsomerset.gov.uk/media/3138/nhaweb001.pdf,,,2020-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-30,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,N/HEUP/B001,"""Great Orchard Stores. Brookland Road, Huish Episcopi""",https://www.southsomerset.gov.uk/media/1590/huepb001.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-16,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,N/MART/0005,"""Rear of the Rose & Crown, Hurst, Bower Hinton""",https://www.southsomerset.gov.uk/media/1596/mart0005.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-16,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,N/MART/B001,"""Burfield Gloves, Manor Road, Martock""",https://www.southsomerset.gov.uk/media/1597/martb001.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-30,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,2,2,,,,Relates to only part of site. Full permission for further 10 Expired,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,2019-12-02,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,N/SOME/0800,"""Land at Etsome Terrace, Somerton""",https://www.southsomerset.gov.uk/media/1603/some0800.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-30,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,2019-12-02,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,N/SOME/B001,"""Former Garage Site, West Street, Somerton""",https://www.southsomerset.gov.uk/media/1604/someb001.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,2020-01-30,,,2020-01-30,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,2016-09-19,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,N/SOPE/0013,"""Parkway Farm, West Street, South Pertherton""",https://www.southsomerset.gov.uk/media/1605/sope0013.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-30,,,2020-01-30,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,75,65,,,,,,,,,,local-authority-eng:SSO,,mixed ownership,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,S/BRYM/0004/,"""Land off George Smith Way, Yeovil""",https://www.southsomerset.gov.uk/media/1580/brym0004.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-30,,,2020-01-30,,,,,,,,,,,,,,3.57,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,S/BRYM/0501,"""Land at Yeovil Town FC""",https://www.southsomerset.gov.uk/media/1581/brym0501.pdf,,,2018-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-30,,,2020-01-30,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,17,7,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,S/ODCO/1101/,"""Manor Farm, Street Lane, Odcombe""",https://www.southsomerset.gov.uk/media/1601/odco1101.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-30,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,16,16,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,2019-09-16,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,S/YEOV/0005,"""Land at Eastville Road""",https://www.southsomerset.gov.uk/media/1609/yeov0005.pdf,,,2018-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-30,,,2020-01-30,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,local-authority-eng:SSO,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,S/YEOV/0008,"""Former Bus Depot""",https://www.southsomerset.gov.uk/media/1610/yeov0008.pdf,,,2018-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-16,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,20,20,,,,,,,,,,local-authority-eng:SSO,,owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,S/YEOV/1300/,"""Former Box Factory, South Street, Yeovil""",https://www.southsomerset.gov.uk/media/1611/yeov1300.pdf,,,2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,
