entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2020-06-25,local-authority-eng:YOR,BR-022,York Barbican Paragon Street,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,permissioned,,,53.953425,-1.074263,0.96,187,0,,,13/02135/FULM,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-013,Garage Court Site at Challoner Road,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,owned by a public authority,permissioned,,,53.934619,-1.118166,0.12,8,0,,,14/01191/FUL,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-014,1-12 Kensal Rise,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,permissioned,,,53.949101,-1.073002,0.15,6,0,,,14/01857/FUL,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-025,"Hungate Development Site (Blocks D, F, G & H)",https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,permissioned,,,53.959076,-1.075113,4.1,683,0,,,15/01709/OUTM,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-003,Car Parking Area Holgate Road,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,permissioned,,,53.953959,-1.094808,0.03,6,0,,,15/02295/FUL,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-009,26-30 Swinegate,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,permissioned,,,53.960156,-1.081185,0.06,8,0,,,16/01532/FUL,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-001,Mack & Lawler Builders Ltd 2a Low Ousegate,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,permissioned,,,53.957719,-1.083357,0.02,8,0,,,16/02710/ORC,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-024,The Cocoa Works Haxby Road,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,permissioned,,,53.974409,-1.07857,2.35,258,0,,,17/00284/FULM,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-010,The Fleeting Arms 54 Gillygate,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,permissioned,,,53.964174,-1.083612,0.07,17,0,,,17/00580/FULM,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-017,Ryedale House 58-60 Piccadilly,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,permissioned,,,53.955876,-1.077393,0.24,73,0,,,16/02022/ORC,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-021,Hudson House Toft Green,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,permissioned,,,53.957218,-1.090775,0.55,127,0,,,17/00576/FULM,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-015,Coal Yard 11 Mansfield Street,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,permissioned,,,53.961676,-1.071915,0.16,32,0,,,15/01571/FULM,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-019,Land Registry James House James Street,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,permissioned,,,53.956551,-1.067122,0.48,60,0,,,17/00474/ORC,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-011,Buildmark House George cayley Drive,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,permissioned,,,53.986021,-1.098597,0.11,8,0,,,17/00732/FUL,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-008,Former Saxon House 71-73 Fulford Road,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,permissioned,,,53.950113,-1.074869,0.05,10,0,,,15/02888/FUL,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-005,The Falcon Tap 94 Micklegate,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,permissioned,,,53.956984,-1.089515,0.04,10,0,,,17/01468/FULM,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-012,Smiths Gore 48 Bootham,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,permissioned,,,53.96381,-1.087644,0.12,11,0,,,17/01541/ORC,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-026,Simons Auto Services 17 Mansfield Street,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,,,,53.961422,-1.072744,0.02,10,0,,,17/02991/FULM,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-025a,Hungate Development Site (Block G),https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,,,,53.959076,-1.075113,0.25,196,0,,,17/03032/REMM,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-028,Bank of Scotland 6 Nessgate,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,,,,53.957531,-1.082219,0.04,16,0,,,17/02451/ORC,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-031,23 Piccadilly,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,,,,53.956473,-1.076786,0.11,24,0,,,17/02624/ORC,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-032,Nova 2 George Cayley Drive,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,,,,53.986144,-1.098274,0.11,9,0,,,18/00739/FUL,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-034,Land to West of Block D Aviator Court,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,,,,53.9884,-1.103014,0.13,6,0,,,17/03067/FUL,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-037a,British Sugar Corporation Ltd Plantation Drive,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,,,,53.971368,-1.126339,39.62,1100,0,,,15/00524/OUTM,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-037b,British Sugar Corporation Ltd Plantation Drive,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,,,,53.971348,-1.126472,,1100,0,,,,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-038,Former Gas Works 24 Heworth Green (Phases I & II),https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,,,,53.964919,-1.070044,3.54,336,0,,,,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-039,Burnholme School,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,owned by a public authority,,,,53.964075,-1.048097,1.9,72,0,,,,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-040,Bootham Crescent Football Ground,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,,,,53.969487,-1.088304,1.72,86,0,,,,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-041,Askham Bar Park&Ride,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,owned by a public authority,,,,53.933439,-1.114843,1.57,60,0,,,,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-042,Former Oak Haven EPH 144 Acomb Road,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,owned by a public authority,,,,53.956377,-1.118935,0.33,56,0,,,,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-043,Willow House EPH Long Close Lane,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,owned by a public authority,,,,53.954791,-1.071633,0.2,15,0,,,,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
2020-06-25,local-authority-eng:YOR,BR-044,Land at Layerthorpe,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,,not owned by a public authority,,,,53.962592,-1.071181,0.2,20,0,,,,192bac87319e7b167369f300abb7bdc4d095522a311bb99bcc749590c3560068
