entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2020-06-25,local-authority-eng:WOC,,Ribble Close & Gas Holder Site,,,not owned by a public authority,not permissioned,,,52.190268,-2.203305,1.2,50,50,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,"Blackpole Road, Western Power Distribution Depot",,,not owned by a public authority,not permissioned,,,,,2.58,40,40,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,73-77 Bromwich Road,,,not owned by a public authority,not permissioned,,,,,0.14,11,11,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,"Malvern Gate, Bromwich Road",,,not owned by a public authority,not permissioned,,,52.173761,-2.234108,1.28,55,55,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,"Old Brewery Service Station, Barbourne Road",,,not owned by a public authority,permissioned,,,52.202013,-2.2261,0.14,18,18,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,"County Council Offices, Sherwood Lane",,,owned by a public authority,not permissioned,,,52.17502,-2.237981,0.5,30,30,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,"County Council Offices, Bilford Road",,,owned by a public authority,not permissioned,,,52.213017,-2.216007,0.67,20,20,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,"Laugherne Garage, Bransford Road",,,not owned by a public authority,not permissioned,,,52.183961,-2.253973,0.44,10,10,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,"Former Club House, Tolladine Golf Course",,,not owned by a public authority,not permissioned,,,52.199268,-2.188366,0.5,15,15,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,79 St Johns,,,not owned by a public authority,pending decision,,,52.186872,-2.235188,0.05,10,10,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,Rose Avenue,,,not owned by a public authority,not permissioned,,,52.198356,-2.201603,0.18,8,8,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,"Commandery Coach Depot, Tolladine Road",,,not owned by a public authority,not permissioned,,,,,0.07,7,7,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,23-24 Foregate Street,,,not owned by a public authority,not permissioned,,,52.196156,-2.221975,0.1,10,10,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,"The Bridge Inn, Lowesmoor Terrace",,,not owned by a public authority,not permissioned,,,52.195967,-2.215645,0.1,9,9,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,Lowesmoor Wharf,,,not owned by a public authority,not permissioned,,,52.195718,-2.216588,1.14,100,100,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,Shrub Hill Opportunity Zone,,,not owned by a public authority,not permissioned,,,52.195266,-2.211276,19.72,,,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,Carden Street Opportunity Zone,,,mixed ownership,not permissioned,,,52.19044,-2.215937,3.9,,,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,"The Ice House, Bromyard Road",,,not owned by a public authority,permissioned,,,52.186742,-2.25131,0.45,54,54,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,Rear of 18 St Johns,,,not owned by a public authority,permissioned,,,52.188851,-2.234508,0.11,11,11,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,"Former History Centre, Trinity House",,,not owned by a public authority,permissioned,,,,,0.05,9,9,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,Former Worcester Fire Station,,,not owned by a public authority,permissioned,,,52.190562,-2.221496,0.16,9,9,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,137 Bath Road,,,not owned by a public authority,permissioned,,,52.18174,-2.21696,0.13,5,5,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,5 Bull Ring,,,not owned by a public authority,permissioned,,,52.18843,-2.23301,0.07,6,6,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,12 Sansome Place,,,not owned by a public authority,permissioned,,,52.19519,-2.21949,0.01,6,6,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,"Stuart House, 147 London Road",,,not owned by a public authority,permissioned,,,52.18507,-2.20569,0.15,6,6,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,The Crown and Anchor 223 Hylton Road,,,not owned by a public authority,permissioned,,,52.1967,-2.23583,0.03,6,6,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,Wyatt Guest House 40 Barbourne Road,,,not owned by a public authority,permissioned,,,52.20268,-2.22592,0.02,6,6,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,Jenkins House 15 Foregate Street,,,not owned by a public authority,permissioned,,,52.19535,-2.22191,0.01,8,8,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,Corner of Comer Road/Lapal Close,,,not owned by a public authority,permissioned,,,52.18948,-2.23827,0.15,20,20,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,"Coppertops, 195 Oldbury Road",,,not owned by a public authority,permissioned,,,52.19638,-2.25043,0.65,42,42,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,St Martins Quarter,,,not owned by a public authority,permissioned,,,52.19295,-2.21643,0.23,98,98,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,"Former Crown Packaging Site, Williamson Road",,,not owned by a public authority,permissioned,,,52.18848,-2.20385,7.5,215,215,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,Former Sansome Walk Swimming Pool,,,owned by a public authority,not permissioned,,,52.199018,-2.220537,0.8,50,35,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,96 Holly Mount,,,not owned by a public authority,permissioned,,,,,0.4,5,5,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,Land adjacent to 18-20 Silver Street,,,not owned by a public authority,permissioned,,,52.19416,-2.2183,0.05,9,10,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,13 Angel Street,,,not owned by a public authority,permissioned,,,52.19348,-2.22215,0.01,6,6,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
2020-06-25,local-authority-eng:WOC,,"YMCA Hostel, Henwick Road",,,not owned by a public authority,permissioned,,,52.19297,-2.23613,0.97,63,87,,,,3b08e37cd8d9263627609d72c3b2b2c6c0cfb3a120e42f0504ef45d158d674ea
