address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,10,5,,,,,,,,,,local-authority-eng:ALL,,not owned by a public authority,,,,,,,,,,Not Permissioned,,,,,,,,,,,,,,,,,,,,,,,BR/ABB/01H,"Land to the north of Laurel Terrace, Laurel Terrace, Abbeytown",http://mapping.allerdale.gov.uk/myallerdale.aspx,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,30,24,,,,24 selfbuild plots and demolition of 3 buildings,,,,,,local-authority-eng:ALL,,owned by a public authority,,,,,,,,2015-05-06,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=123998,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BR/BRM/01H,"Land at former Broughton Moor RNAD, Moor Road, Broughton Moor",http://mapping.allerdale.gov.uk/myallerdale.aspx,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,6,5,,,,,,,,,,local-authority-eng:ALL,,not owned by a public authority,,,,,,,,,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=108925,Not Permissioned,,,,,,,,,,,,,,,,,,,,,,,BR/FLI/01H,"Former Flimby Garage, Church Road, Flimby",http://mapping.allerdale.gov.uk/myallerdale.aspx,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,18,15,,,,18 dwellings,,,,,,local-authority-eng:ALL,,not owned by a public authority,,,,,,,,2012-09-19,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=96500,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR/GRC/02H,"Land at William Street, Great Clifton",http://mapping.allerdale.gov.uk/myallerdale.aspx,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,19,5,,,,19 dwellings,,,,,,local-authority-eng:ALL,,not owned by a public authority,,,,,,,,2010-11-12,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=77252,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR/KBR/01H,"Land adjacent to Rodway, West Lane, Kirkbride",http://mapping.allerdale.gov.uk/myallerdale.aspx,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,20,12,,,,Use of land for residential development,,,,,,local-authority-eng:ALL,,not owned by a public authority,,,,,,,,2014-06-16,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=114404,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BR/MAR/01H,"Land at Ropery Street, Maryport",http://mapping.allerdale.gov.uk/myallerdale.aspx,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,9,5,,,,9 dwellings,,,,,,local-authority-eng:ALL,,not owned by a public authority,,,,,,,,2015-05-14,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=124486,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BR/MAR/02H,"Land at The Netherdales, Ellenborough Road, Maryport",http://mapping.allerdale.gov.uk/myallerdale.aspx,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,1.53,,,,,,,,,,,,,,,,,,50,30,,,,,,,,,,local-authority-eng:ALL,,owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BR/MAR/03H,"Land to the east of Marine Road, Maryport",http://mapping.allerdale.gov.uk/myallerdale.aspx,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,20,12,,,,,,,,,,local-authority-eng:ALL,,not owned by a public authority,,,,,,,,,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=152298,Not Permissioned,,,,,,,,,,,,,,,,,,,,,,,BR/PRO/01H,"Prospect Garage, Main Road (A596), Prospect",http://mapping.allerdale.gov.uk/myallerdale.aspx,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-20,,,,,,,,,,,,,,8.7,,,,,,,,,,,,,,,,,,254,170,,,,Residential development (first phase - 22 dwellings),,,,,,local-authority-eng:ALL,,not owned by a public authority,,,,,,,,2011-05-23,http://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=74376,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BR/SIL/01H,"Former Fisons Factory, Skiddaw Street, Silloth",http://mapping.allerdale.gov.uk/myallerdale.aspx,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
