address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,15,15,,,,Part of this site was started in 2002,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2001-10-26,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR001,"Glendaragh, Barn Park Road, Teignmouth TQ14 8PN",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=01%2f03478%2fCOU,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,6,6,,,,Groundworks commenced keeping this live,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2006-03-22,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR002,"Rosemary Avenue, Newton Abbot TQ12 1SB",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=05%2f04278%2fFUL,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,9,9,,,,Original dwelling demolished,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2008-07-01,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR003,"Platway House, Torquay Road, Shaldon TQ14 0AU",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f03261%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,9,9,,,,started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2012-07-31,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR004,"Shapters Yard, Strand Hill, Dawlish EX7 9PS",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=12%2f01811%2fFUL,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,79,13,,,,started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2013-01-21,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR005,"Former Wolborough Hospital, Old Totnes Road, Newton Abbot TQ12 6AA",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f01497%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,7,7,,,,started - 2 completed,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2014-10-10,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR006,"Holcombe Hall, Holcombe Drive, Dawlish  EX7 0JW",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f02517%2fFUL,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,5,5,,,,started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2014-10-10,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR007,"14 Barton Villas, Dawlish EX7 9QJ",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f03658%2fFUL,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,27,27,,,,started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2014-10-10,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR008,"22 - 26 Wolborough Street, Newton Abbot TQ12 1JJ",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f01015%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,21,21,,,,2 phase scheme part 1 completed in 2009,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2014-10-09,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR009,"Clay Lane, Teignmouth TQ14 8FW",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f01918%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,26.45,,,,,,,,,,,,,,,,,,23,23,,,,,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2016-06-01,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR010,"land at Ilford Park, Stover, Newton Abbot TQ12 6PW",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f02580%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,8,8,,,,started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2015-01-26,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR011,"5 George Street, Teignmouth TQ14 8AH",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f03008%2fCOU,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,7,7,,,,started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2015-05-07,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR012,"17 Bank Street, Newton Abbot TQ12 2JL",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f03632%2fFUL,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,9,9,,,,started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2016-01-26,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR013,"Littlehayes, 9 East Cliff Road, Dawlish EX7 0BP",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=15%2f00726%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,14,14,,,,started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2015-08-28,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR014,"RMS Motors, Pottery Road, Bovey Tracey TQ13 9DS",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=15%2f00776%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,34,34,,,,started 2 applications,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2016-03-24,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR015,"Shell Cove House, 19 Old Teignmouth Road, Dawlish EX7 0NJ",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=15%2f02590%2fFUL/https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f00300%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,11.11,,,,,,,,,,,,,,,,,,34,26,,,,only approx 1.04 ha brownfield,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2016-09-13,,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BFR016,"Langdon Hospital, Dawlish EX7 0NS",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=15%2f02700%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,2.73,,,,,,,,,,,,,,,,,,27,27,,,,,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2016-07-18,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR017,"Bishop Dunstan School, 16 South Road, Newton Abbot TQ12 1HH",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=15%2f02732%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2015-12-15,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR018,"Conitor House, Denbury Road, Ogwell, Newton Abbot  TQ12 6AD",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=15%2f02943%2fNPA,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,21,21,,,,pending S106,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2017-01-08,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR019,"Peppermint Club, Warren Road, Dawlish Warren, Dawlish EX7 0PQ",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f00037%2fMAJ/https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f00041%2fFUL,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,9,9,,,,started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2016-07-13,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR020,"2 Old Town Street, Dawlish EX7 9AL",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f00464%2fFUL,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,36,36,,,,started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2016-10-28,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR021,"Kingsteignton Community Resource Centre, Greenhill Road, Kingsteignton TQ12 3BD",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f00477%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,27,27,,,,started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2017-07-28,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR022,"Land At Former Treston House, Dawlish  EX7 0BL",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f00528%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2016-12-08,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR023,"Blenheim, Brimley Road, Bovey Tracey TQ13 9DH",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f02013%2fFUL,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,9,9,,,,started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2017-01-19,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR024,"Prospect Chapel, 5 Torquay Road, Newton Abbot TQ12 2LJ",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f02132%2fFUL,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,6,6,,,,started,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2017-03-10,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR025,"The Old Brewery, 45 High Street, Dawlish EX7 9HF",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f02723%2fFUL,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2017-07-14,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR026,"Charterhouse Residential Care Home, Second Drive, Teignmouth TQ14 8TL",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f02794%2fFUL,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,21,21,,,,,,,,,,local-authority-eng:TEI,,not owned by a public authority,,,,,,,,2017-03-30,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR027,"former Queens Hotel, 142-148 Queen Street, Newton Abbot TQ12 2EZ",https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f02929%2fMAJ,,,01/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
