address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""2017-12-31""",,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,local-authority-eng:MIK,,not owned by a public authority,,,,,,,,2015-05-23,https://publicaccess2.milton-keynes.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=NIY5WKKW0BD00&activeTab=summary&previousCaseNumber=15%2F00186%2FFUL&keyVal=001XX300LI000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR1,"""143-145 Queensway, Bletchley, Milton Keynes, MK2 2DY""",https://mapping.milton-keynes.gov.uk/mymiltonkeynes.aspx,,,"""2016-06-30""",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""2017-12-31""",,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,local-authority-eng:MIK,,not owned by a public authority,,,,,,,,2014-10-20,https://publicaccess2.milton-keynes.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=NBBJC7KW0AP00&activeTab=summary&previousCaseNumber=14%2F01998%2FFUL&keyVal=00256X00LI000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR3,"""1 Radian Court, Davy Avenue, Knowlhill, Milton Keynes, MK5 8PJ""",https://mapping.milton-keynes.gov.uk/mymiltonkeynes.aspx,,,"""2016-06-30""",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""2017-12-31""",,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,21,21,,,,,,,,,,local-authority-eng:MIK,,not owned by a public authority,,,,,,,,2016-01-13,https://publicaccess2.milton-keynes.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=NY25F0KW0F400&activeTab=summary&previousCaseNumber=15%2F02871%2FFUL&keyVal=001DNE00LI000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR4,"""Maybrook House, 224 Queensway, Bletchley, Milton Keynes, MK2 2SZ""",https://mapping.milton-keynes.gov.uk/mymiltonkeynes.aspx,,,"""2016-06-30""",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""2017-12-31""",,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:MIK,,not owned by a public authority,,,,,,,,2014-09-05,https://publicaccess2.milton-keynes.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=N8JMHTKW0AP00&activeTab=summary&previousCaseNumber=14%2F01582%2FFUL&keyVal=LC5RSLKW0000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR8,"""Unit 10, Walker Avenue, Wolverton, Milton Keynes, MK12 5TW""",https://mapping.milton-keynes.gov.uk/mymiltonkeynes.aspx,,,"""2016-06-30""",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""2017-12-31""",,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,local-authority-eng:MIK,,not owned by a public authority,,,,,,,,2014-06-10,https://publicaccess2.milton-keynes.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=MTQAVAKW0AP00&activeTab=summary&previousCaseNumber=13%2F02071%2FFUL&keyVal=LC5RSMKW0000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR9,"""Units 12-14, Walker Avenue, Wolverton, Milton Keynes, MK12 5TW""",https://mapping.milton-keynes.gov.uk/mymiltonkeynes.aspx,,,"""2016-06-30""",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""2017-12-31""",,,,,,,,,,,,,,5.57,,,,,,,,,,,,,,,,,,134,134,,,,,,,,,,local-authority-eng:MIK,,not owned by a public authority,,,,,,,,2017-02-08,https://publicaccess2.milton-keynes.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=NUTLFSKWJRZ00&activeTab=summary&previousCaseNumber=15%2F02337%2FOUT&keyVal=NNLE14KW00001,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BR12,"""Land North And West of Wavendon Business Park, Ortensia Drive, Wavendon Gate, Milton Keynes, MK17 8LX""",https://mapping.milton-keynes.gov.uk/mymiltonkeynes.aspx,,,"""2016-06-30""",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""2017-12-31""",,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,local-authority-eng:MIK,,not owned by a public authority,,,,,,,,2015-10-02,https://publicaccess2.milton-keynes.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=NNPOVVKWB5000&activeTab=summary&previousCaseNumber=15%2F01028%2FFUL&keyVal=NO07DYKW00001,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR13,"""Former Taylors Mustard Factory, Rear of 2 Union Street, Newport Pagnell, Milton Keynes, MK16 8ET""",https://mapping.milton-keynes.gov.uk/mymiltonkeynes.aspx,,,"""2016-06-30""",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""2017-12-31""",,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,local-authority-eng:MIK,,not owned by a public authority,,,,,,,,2016-03-11,https://publicaccess2.milton-keynes.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=NN7675KWB5000&activeTab=summary&previousCaseNumber=15%2F00913%2FFUL&keyVal=NIGW1WKW07500,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR14,"""The Agora Centre, Church Street, Wolverton, MK12 5LG""",https://mapping.milton-keynes.gov.uk/mymiltonkeynes.aspx,,,"""2016-06-30""",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""2017-12-31""",,,,,,,,,,,,,,3.17,,,,,,,,,,,,,,,,,,53,53,,,,Outline planning permission,,,,,,local-authority-eng:MIK,,not owned by a public authority,,,,,,,,2015-10-01,https://publicaccess2.milton-keynes.gov.uk/online-applications/propertyDetails.do?previousCaseType=Appeal&previousKeyVal=NCCQ59KW09K00&activeTab=summary&previousCaseNumber=14%2F00033%2FREF&keyVal=002BZZ00LI000,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BR16,"""Frosts Landscape Construction, Wain Close, Newport Road, Wavendon, Milton Keynes, MK17 8UZ""",https://mapping.milton-keynes.gov.uk/mymiltonkeynes.aspx,,,"""2016-06-30""",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""2017-12-31""",,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,37,37,,,,Lapsed outline planning permission,,,,,,local-authority-eng:MIK,,not owned by a public authority,,,,,,,,2014-01-10,https://publicaccess2.milton-keynes.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=MUCA7IKWB5000&activeTab=summary&previousCaseNumber=13%2F02153%2FOUT&keyVal=00258R00LI000,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BR21,"""82-84 Newport Road, New Bradwell, Milton Keynes, MK13 0AA""",https://mapping.milton-keynes.gov.uk/mymiltonkeynes.aspx,,,"""2016-06-30""",,,,,,,,,,,,,,,,,,,,,,,,,,
