entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2018-12-31,local-authority-eng:HAV,ROM1,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.575004,0.186291,0.12,,,2018-12-31,,,7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2019-11-27,local-authority-eng:HAV,ROM2,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.575836,0.185566,0.06,,,2018-12-31,,A number of prior approval applications since 2015,7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2019-11-27,local-authority-eng:HAV,ROM3,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.579603,0.178862,0.27,,,2018-12-31,,"P1292.15 refused  - Applicant to appeal - ""Pre-application advice sought""",7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,ROM5,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.572522,0.180977,3.13,,,2018-12-31,,"""The site is withon the GL Housing Zone and the proosal has received a £12.4The site is in multiple ownership comprising of 37 residential properties and 17 commercial interets""  Approx 34 per cent of land is council or joint venture owned.  Preperation is underway to use CPO""",7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,BRK2,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.583068,0.174322,0.32,,,2018-12-31,,"""Pre-application advice sought""",7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,BRK10,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.580243,0.177348,0.63,,,2018-12-31,,,7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2019-11-27,local-authority-eng:HAV,STHH2,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.522405,0.185803,0.78,,,2018-12-31,,,7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,ROM7,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.577006,0.178261,0.32,,,2018-12-31,,"""Site allocated in the Adopted Romford area Action PLan 2008 and is located within the Romford Strategic Development Area and has housing zone status as designated by the GLA""",7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,BRK11,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.581419,0.175975,0.81,,,2018-12-31,,,7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,ROM9,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.574235,0.182675,2.24,,,2018-12-31,,"""Allocated in the Romford Area Action Plan 2008, Identified in Romford Town Centre Development Framework, Romford Strategic Development Area(GLA Housing zone designation)""",7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,STHH4,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.525213,0.172602,0.46,,,2018-12-31,,"""Rainham and Beam Park Strategic Development Area (SDA), Housing Zone Status GLA designation""",7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,STHH5,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.526035,0.168325,0.38,,,2018-12-31,,"""Rainham and Beam Park Straqtegic Development Area and Housing Zone Status (GLA designation)""",7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,STHH6,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.525598,0.170725,1.13,,,2018-12-31,,"""Rainham and Beam Park stategic Development Area and Housing Zone Status (GLA designation)""",7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2019-11-27,local-authority-eng:HAV,STHH7,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.521663,0.182412,,,,2018-12-31,,,7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,STHH14,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.524342,0.176624,0.53,,,2018-12-31,,"""Rainham and Beam Park Strategic Development Area and Housing Zones status (GLA Designation)""",7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,STHH11,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.523655,0.181202,0.78,,,2018-12-31,,,7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2019-11-27,local-authority-eng:HAV,R&W2,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.517957,0.189582,0.75,,,2018-12-31,,,7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,BRK3,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.570798,0.173229,,,,2018-12-31,,,7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,BRK4,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.569636,0.181507,2.88,,,2018-12-31,,,7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,HAC1,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.549233,0.200106,0.64,,,2018-12-31,,"""Twinned with Sation Parade-refer to Station Parade for details below""",7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,EPK1,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.548962,0.199221,0.74,,,2018-12-31,,"""Site twinned with Tadworth Parade- Potential development opportunity""",7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,ROM10,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.5839,0.188118,0.71,,,2018-12-31,,NHS owned who have signalled an interest in disposing,7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,STHH13,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.526269,0.167059,0.19,,,2018-12-31,,,7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,GOO1,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.607829,0.218319,0.28,,,2018-12-31,,,7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2019-11-27,local-authority-eng:HAV,PET1,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.592264,0.174557,0.25,,,2018-12-31,,"Min net dwellings decrease from original reported 16 units -  ""Pre-application advice sought""",7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
2018-12-31,local-authority-eng:HAV,STA2,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,,,,,,51.557496,0.225361,0.51,,,2018-12-31,,Resident decant process started.  Council looking to complete development 2025.,7c06055695b7a313a29d482c079020ad19a5f85b5cda61c3f2a2796712fcb2ba
