address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,,2.62,,,,,,,,,,,,,,,,,,78,60,,,,,,,,,,,,not owned by a public authority,,,,,,,,2017-01-20,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2015/0546/O&from=planningSearch,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_01,"""Land south of Whitehouse Lane, Attleborough""",https://www.breckland.gov.uk/media/6177/BLR-01/pdf/BLR_01.pdf,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,,3.28,,,,,,,,,,,,,,,,,,114,98,,,,,,,,,,,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BLR_02,"""Land at Dereham hospital, Dereham""",https://www.breckland.gov.uk/media/6178/BLR-02/pdf/BLR_02.pdf,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,0.85,,,,,,,,,,,,,,,,,,31,31,,,,,,,,,,,,not owned by a public authority,,,,,,,,2015-02-09,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2013/0983/O&from=planningSearch,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_03,"""The Necton Diner, Necton""",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2013_0983_O%5C3PL_2013_0983_O-AM_1_1.pdf&module=pl,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/02/2018,,,,,,,,,,,,,yes,0.34,,,,,,,,,,,,,,,,,,4,4,,,,Please refer to the Technical Details Constent Key Development considerations set out in the decision notice: http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=BLR/2017/0002/PIP&from=planningSearch,,,,,,,,not owned by a public authority,,,,,,,,2015-03-20,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2014/1362/O&from=planningSearch,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_04,"""Former V A Infant School, Necton""",https://www.breckland.gov.uk/media/6179/BLR-04/pdf/BLR_04.pdf,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,0.44,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,not owned by a public authority,,,,,,,,2017-03-31,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2016/0655/F&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_05,"""D D Dodd and Sons, Chapel Street, Shipdham""",https://www.breckland.gov.uk/media/6180/BLR-05/pdf/BLR_05.pdf,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,1.61,,,,,,,,,,,,,,,,,,75,75,,,,,,,,,,,,not owned by a public authority,,,,,,,,2016-05-24,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2016/0648/O&from=planningSearch,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_06,"""Mellor Metals, Attleborough Road, Great Ellingham""",https://www.breckland.gov.uk/media/6181/BLR-06/pdf/BLR_06.pdf,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,0.65,,,,,,,,,,,,,,,,,,31,31,,,,,,,,,,,,not owned by a public authority,,,,,,,,2017-06-15,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2012/0503/O&from=planningSearch|http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2017/0370/D&from=planningSearch|http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2014/1314/O&from=planningSearch,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,BLR_07,"""Plaswood Products Ltd Griston Road, Watton""",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2017_0370_D%5C6226+S01.pdf&module=pl,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,0.26,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,not owned by a public authority,,,,,,,,2017-07-06,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2017/0106/F&from=planningSearch|http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2009/0785/F&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_08,"""Development Site, Station Road, Eccles""",https://www.breckland.gov.uk/media/6182/BLR-08/pdf/BLR_08.pdf,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,0.96,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,not owned by a public authority,,,,,,,,2015-09-17,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2014/0244/F&from=planningSearch|http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2015/0001/F&from=planningSearch,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR_09,"""The Old Rectory, Ashburton Road, Ickburgh""",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2015_0001_F%5C3PL_2015_0001_F-LP.pdf&module=pl,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,20/11/2017,,,,,,,,,,,,,yes,0.4,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,not owned by a public authority,,,,,,,,2016-06-30,http://planning.breckland.gov.uk/OcellaWeb/planningDetails?reference=3PL/2016/0422/D&from=planningSearch,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,BLR_10,"""Necton Garden Centre, Necton""",http://planning.breckland.gov.uk/OcellaWeb/viewDocument?file=dv_pl_files%5C3PL_2016_0422_D%5CSite+Layout+%281%29%281%29.pdf&module=pl,,,10/08/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
