address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-14,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2015-04-20,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR003,"""52-60 Poulton Road, Fleetwood""",https://arcg.is/1yDieW,,,2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-30,,,,,,,,,,,,,,4.11,,,,,,,,,,,,,,,,,,186,186,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2012-10-10,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR004,"""Land north and east of Bourne Road, Thornton.""",https://arcg.is/1yDieW,,,2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-30,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2019-02-07,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR005,"""Royal Oak, 64 Breck Road, Poulton""",https://arcg.is/1yDieW,,,2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-14,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2016-01-22,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,BR006,"""Preesall Service Station, Sandy Lane, Preesall""",https://arcg.is/1yDieW,,,2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-14,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2016-01-14,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,BR007,"""Brimelows Garage, 54 Hardhorn Road, Poulton""",https://arcg.is/1yDieW,,,2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-14,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2017-09-27,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,BR008,"""Fairfield Nurseries, Puddle House Lane, Poulton""",https://arcg.is/1yDieW,,,2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-30,,,,,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,40,40,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2018-11-16,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR011,"""North of Garstang Road, Pilling""",https://arcg.is/1yDieW,,,2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-30,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR012,"""Throstles Nest, Whinney Brow Lane, Forton""",https://arcg.is/1yDieW,,,2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-30,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2016-05-25,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR013,"""Prospect Farm, Skippool Road, Thornton""",https://arcg.is/1yDieW,,,2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-30,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2016-06-25,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR014,"""Rear The Steamer, Victoria Street, Fleetwood""",https://arcg.is/1yDieW,,,2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-30,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,18,18,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2019-07-30,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR017,"""Garstang Business & Community Centre, 96 High Street, Garstang""",https://arcg.is/1yDieW,,,2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-30,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,,https://publicaccess.wyre.gov.uk/online-applications/,pending decision,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BR018,"""Fleetwood Pier, The Esplanade, Fleetwood""",https://arcg.is/1yDieW,,,2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-14,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,20,20,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2017-07-27,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR019,"""Carleton Court, 155-161 Lord Street, Fleetwood""",https://arcg.is/1yDieW,,,2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-30,,,,,,,,,,,,,,13.61,,,,,,,,,,,,,,,,,,338,220,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR020,"""North of Norcross Lane, Thornton Cleveleys""",https://arcg.is/1yDieW,,,2017-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-30,,,,,,,,,,,,,,32.67,,,,,,,,,,,,,,,,,,120,120,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,,https://publicaccess.wyre.gov.uk/online-applications/,,,,,,,,,,,,,,,,,,,,,,,,BR021,"""South of Fleetwood Dock, Fleetwood""",https://arcg.is/1yDieW,,,2017-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-30,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2018-06-06,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,BR022,"""Garstang Country Hotel & Golf Club, Garstang Road, Bowgreave""",https://arcg.is/1yDieW,,,2017-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-30,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,19,19,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2017-12-21,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR025,"""Former Fleetwood Health Centre, London Street, Fleetwood""",https://arcg.is/1yDieW,,,2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-30,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2018-07-12,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR026,"""Land at Foxes Farm,Hardhorn Road, Poulton""",https://arcg.is/1yDieW,,,2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-30,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2018-05-04,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR027,"""Acresfield, 9 Garstang Bypass Road, Garstang""",https://arcg.is/1yDieW,,,2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-30,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2018-06-06,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR028,"""15 Newton Drive East, Normoss""",https://arcg.is/1yDieW,,,2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-30,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2019-07-31,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,BR029,"""Bloomfield Garage, Cockerham Road, Forton""",https://arcg.is/1yDieW,,,2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-30,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2018-09-28,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BR030,"""Rear 91 Victoria Street, Fleetwood""",https://arcg.is/1yDieW,,,2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/10/2019,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,25,25,,,,,,,,,,local-authority-eng:WYR,,not owned by a public authority,,,,,,,,2018-08-28,https://publicaccess.wyre.gov.uk/online-applications/,,,,,,,,,,,,,,,,,,,,,,,,BR032,"""Land at Crake Avenue, Fleetwood""",https://arcg.is/1yDieW,,,30/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,
