address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,192,192,,,,", Springfield, Royal Engineers Road and Mill Lane,, Maidstone, Kent",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,05/2350.,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,1.55,,,,,,,,,,,,,,,,,,310,310,,,,", Springfield, Royal Engineers Road and Mill Lane,, Maidstone, Kent",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,16/507471,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,May-19,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,295,190,,,,", Springfield, Royal Engineers Road and Mill Lane,, Maidstone, Kent",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,17/502432,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Jun-18,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,48,48,,,,", 180-188, Union Street, Maidstone, Kent",,,,,,local-authority-eng:MAI,,owned by a public authority,,,,,,,,,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,17/504428,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,40,40,,,,", Medway Street, Maidstone",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,H1(13),,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,0.7645,,,,,,,,,,,,,,,,,,65,65,,,,", American Golf, Tonbridge Road, Maidstone, Maidstone, Kent, ME16 8RL",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,15/510179,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,0.1198,,,,,,,,,,,,,,,,,,15,15,,,,", 6, Tonbridge Road, Maidstone",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,H1(15),,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,May-19,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,20,20,,,,", Slencrest House, 3 Tonbridge Road,, Maidstone",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,completing,other,,,,,,,,,,,,,,,,,,,,,,16/507491,,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,0.313,,,,,,,,,,,,,,,,,,76,76,,,,", Laguna, Hart Street,, Maidstone",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,H1(17),,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Dec-17,,,,,,,,,,,,,,0.03172,,,,,,,,,,,,,,,,,,14,14,,,,", Dunning Hall (off Fremlin Walk), Week Street,, Maidstone",,,,,,local-authority-eng:MAI,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,H1(18),,,,,Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
