address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,22/05/2019,,,12/12/2019,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,15/00692/FUL - Erection of 12 dwellings. Now completed,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2016-05-27,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0016SIBMLI000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,AB17,"Former working men's club, New Road, Audley",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NSLI1MBMGW500,,,18/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,Site promoted by registered provider,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,AB29,"Land at Wedgewood Avenue, Wood Lane",,,,12/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,"19/00760/FUL - Residential development for 71 dwellings, 53 dwellinghouses and 18 apartments. Pending decision",,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001O2PBMLI000,pending decision,full planning permission,,,,,,,,,,,,,,,,,,,,,,BL7,West Avenue (North West Site) Kidsgrove,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PYA1YPBM01S00,,,12/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,,,15/00368/OUT - Residential development for 44 dwellings,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2016-09-07,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0017IRBMLI000,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BL8,"Land adjacent to roundabout at West Avenue, Kidsgrove",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NNMN7MBMN3F00,,,18/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,09/00045/FUL - Demolition of existing bungalow and erection of eight dwellings,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2009-03-27,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0015ADBMLI000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,CH12,"Land between Johnson Avenue and Liverpool Road, Cross Heath",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=KEA2Q4BM06500,,,12/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,8.79,,,,,,,,,,,,,,,,,,,,,,,17/00281/FUL - Development of 276 dwellings,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2018-05-16,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IIY4TKBMY3000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,CH4,"Wilmott Drive, Cross Heath, Newcastle-under-Lyme",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ONOB4WBMK6800,,,18/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,Site promoted by registered provider,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,CT12,"Dragon Square, Rosevale Court",,,,12/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,18/00559/FUL - Proposed 10 no. two bedroom self contained flats,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2019-03-08,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001M94BMLI000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,CT13,"Heathcote Street, Chesterton (Chesterton Ex-Servicemens Club)",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PC1SPJBMJF700,,,18/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,22/05/2019,,,12/12/2019,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,17/00417/FUL - Residential development of 14 dwellings. Now completed,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2017-09-28,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001M94BMLI000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,CT22,Ex Servicemens Club Heathcote Street,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OQ3EWWBMH0G00,,,18/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,22/05/2019,,,12/12/2019,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,10/00480/FUL - Erection of 16 terraced dwellings. Now completed,,,,,,local-authority-eng:NEC,,not owned by a public authority,,,,,,,,2010-12-07,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0017SDBMLI000,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,CT23,"Corona Park, Sandford Street, Chesterton",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=L7AIQNBM4V000,,,18/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
