address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/11/2018,,,,,,,,,,,,,,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local-authority-eng:PRE,,not owned by a public authority,,,,,,,,2007-09-03,,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,BR01,Preston.,,,,06/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/11/2018,,,,,,,,,,,,,,8.42,,,,,,,,,,,,,,,,,,93,93,,,,,,,,,,local-authority-eng:PRE,,not owned by a public authority,,,,,,,,2018-02-15,,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,BR04,Former Cottam Brickworks,,,,06/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/11/2018,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,local-authority-eng:PRE,,not owned by a public authority,,,,,,,,2007-08-30,,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BR06,Avenham Street Car Park,,,,06/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/11/2018,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local-authority-eng:PRE,,not owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BR08,Mount Street / Garden Street,,,,06/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local-authority-eng:PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Former St Joseph's Orphanage, Theatre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/11/2018,,,,,,,,,,,,,,0.39 Not owned by a public authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local-authority-eng:PRE,,,,,,,,,,2004-12-22,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR09,Street,,,,06/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local-authority-eng:PRE,,,,,,,,,,,,,full planning permission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/11/2018,,,,,,,,,,,,,,0.11 Not owned by a public authority,,,,,,,,,,,,,,,,,,29,29,,,,,,,,,,local-authority-eng:PRE,,,,,,,,,,2018-08-30,,permissioned,under an order,,,,,,,,,,,,,,,,,,,,,,BR10,"Lancashire House, Winckley Square.",,,,06/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/11/2018,,,,,,,,,,,,,,6.26 Not owned by a public authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local-authority-eng:PRE,,,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BR15,"Alstom site, Channel Way",,,,06/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/11/2018,,,,,,,,,,,,,,3.8 Not owned by a public authority,,,,,,,,,,,,,,,,,,95,95,,,,,,,,,,local-authority-eng:PRE,,,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BR16,"Goss Graphics, Fylde Road.",,,,06/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local-authority-eng:PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/11/2018,,,,,,,,,,,,,,0.37 Not owned by a public authority,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,local-authority-eng:PRE,,,,,,,,,,2014-01-13,,permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BR17,Land at Ashton Basin,,,,06/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local-authority-eng:PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Former Byron Hotel, 25-35 Grimshaw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/11/2018,,,,,,,,,,,,,,0.09 Not owned by a public authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local-authority-eng:PRE,,,,,,,,,,2006-12-11,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BR18,Street.,,,,06/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
