address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,15/12/2017,,,,,,,,,,,,,,1.61,,,,,,,,,,,,,,,,,,304,304,,,,Lambeth Local Plan allocated site (Site 14),,,,,,local-authority-eng:LBH,,mixed ownership,,,,,,,,2017-03-23,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUTFJUBO0I800|https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZRAVLBOJME00,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR001,"""Land Bounded By Somerleyton Road, Coldharbour Lane And Railway""",https://maps.london.gov.uk/brownfield-site-register,,,15/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,15/12/2017,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,55,55,,,,,,,,,,local-authority-eng:LBH,,owned by a public authority,,,,,,,,2017-02-10,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUTTNKBO0IB00,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR003,Fenwick Estate South,https://maps.london.gov.uk/brownfield-site-register,,,15/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,15/12/2017,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,278,278,,,,Part of Lambeth Local Plan allocated site (Site 11),,,,,,local-authority-eng:LBH,,not owned by a public authority,,,,,,,,2017-09-06,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OCIUJFBO0GI00,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR005,12-20 Wyvil Road,https://maps.london.gov.uk/brownfield-site-register,,,15/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,15/12/2017,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,local-authority-eng:LBH,,not owned by a public authority,,,,,,,,2017-06-27,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONMVRYBOGKM00,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR006,93 King's Avenue,https://maps.london.gov.uk/brownfield-site-register,,,15/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,15/12/2017,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,74,74,,,,,,,,,,local-authority-eng:LBH,,owned by a public authority,,,,,,,,2015-10-15,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NMX66CBOJX200,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR007,"""Olive Morris House, 18 Brixton Hill""",https://maps.london.gov.uk/brownfield-site-register,,,15/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,15/12/2017,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,166,166,,,,,,,,,,local-authority-eng:LBH,,not owned by a public authority,,,,,,,,2017-10-13,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O2AEV2BO0GI00,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR009,"""Texaco Garage, 36-46 Albert Embankment""",https://maps.london.gov.uk/brownfield-site-register,,,15/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,15/12/2017,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,62,62,,,,,,,,,,local-authority-eng:LBH,,not owned by a public authority,,,,,,,,2017-06-21,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OH7S7DBOFLE00,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR010,340A Clapham Road,https://maps.london.gov.uk/brownfield-site-register,,,15/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,15/12/2017,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,local-authority-eng:LBH,,not owned by a public authority,,,,,,,,2017-09-20,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OQEK6SBOKBH00,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR012,151 Palace Road,https://maps.london.gov.uk/brownfield-site-register,,,15/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,15/12/2017,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,local-authority-eng:LBH,,not owned by a public authority,,,,,,,,2017-06-15,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEBQZMBOJAK00,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR014,85 Brixton Hill,https://maps.london.gov.uk/brownfield-site-register,,,15/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,17/12/2018,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,,,293,293,,,,,,,,,,local-authority-eng:LBH,,not owned by a public authority,,,,,,,,2018-03-29,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?keyVal=OL40Z6BOKOL00&activeTab=summary,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BLR017,44 Clapham Common South Side,https://maps.london.gov.uk/brownfield-site-register,,,15/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
