address,address-text,addressbase-custodian,amount,attribution,billing-authority,cardinality,category,census-area,citizen-name,citizen-names,clinical-commissioning-group,collection,combined-authority,company,conservation-area,contact,contribution-funding-status,contribution-purpose,copyright,country,dataset,datatype,datetime,default-field,deliverable,description,developer-agreement,developer-agreement-contribution,developer-agreement-transaction,developer-agreement-type,development-corporation,development-metric,development-plan,development-plan-document,development-plan-status,development-plan-timetable,development-plan-type,development-policies,development-policy,development-policy-area,development-policy-categories,development-policy-category,document,document-url,documentation-url,elapsed,end-date,endpoint,endpoint-url,entry-date,esd-inventory,field,fields,further-education-college-region-uk,further-education-college-uk,geography,geographies,geometry,government-domain,government-organisation,government-service,hash,hazardous-substances,hectares,hostname,identifier,internal-drainage-board,item,jobcentre,jobcentre-district,jobcentre-group,json,key-field,legal-instrument,legislation,licence,local-authority-eng,local-authority-nir,local-authority-sct,local-authority-type,local-resilience-forum,maximum-net-dwellings,minimum-net-dwellings,name,name-cy,national-park-authority,notes,number,official-name,official-name-cy,opendatacommunities-area,opendatacommunities-organisation,organisation,organisations,ownership-status,parameter,parameters,parent-field,pattern,phase,pipeline,planning-application,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,plugin,point,principal-local-authority,prison-estate,provenance,public-authority,purpose,region,regional-park-authority,register,registration-district,registry,replacement-field,request-headers,resource,response-headers,schema,school-type-eng,separator,shielding-hub,short-name,site,site-address,site-plan-url,source,specification,start-date,statistical-geographies,statistical-geography,statistical-geography-county-eng,statistical-geography-local-government-district-nir,statistical-geography-london-borough-eng,statistical-geography-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,statistical-geography-registration-district-eng,statistical-geography-registration-district-wls,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-wls,status,strategic,street,string,territory,text,transport-authority,twitter,typology,uk,units,url,value,website,wikidata-item
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,44,44,,,,Full planning permission (N/2014/1163) for the erection of 44 flats. Currently under construction.,,,,,,local-authority-eng:NOR,,not owned by a public authority,,,,,,,,,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR0146,"Victoria Business Park, St James Park Road",https://www.northampton.gov.uk/downloads/file/10105/bfr0146,,,13/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,13.61,,,,,,,,,,,,,,,,,,1020,1020,,,,Majority of the site is owned by HCA.,,,,,,local-authority-eng:NOR,,mixed ownership,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BFR0181,Ransome Road/Nunn Mills Road,https://www.northampton.gov.uk/downloads/file/10045/bfr0181,,,13/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,2.66,,,,,,,,,,,,,,,,,,31,31,,,,N/2015/1074-Permission for 81 residential units approved and currently under construction.,,,,,,local-authority-eng:NOR,,not owned by a public authority,,,,,,,,,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR0189,"St Marys Middle School, Grange Road",https://www.northampton.gov.uk/downloads/file/10051/bfr0189,,,29/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,3.23,,,,,,,,,,,,,,,,,,128,128,,,,Site was formerly Blackthorn Middle School and now vacant. Outline planning permission for residential development has lapsed in October 2017.,,,,,,local-authority-eng:NOR,,owned by a public authority,,,,,,,,,,not permissioned,outline planning permission,,,,,,,,,,,,,,,,,,,,,,BFR0191,"Blackthorn Middle School, Blackthorn Road",https://www.northampton.gov.uk/downloads/file/10049/bfr0191,,,29/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,4.93,,,,,,,,,,,,,,,,,,98,98,,,,N/2006/1052 (WNDC app) Outline App for residential development withdrawn (23 Jan 2012),,,,,,local-authority-eng:NOR,,owned by a public authority,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BFR0205,"Parklands Middle School, Devon Way",https://www.northampton.gov.uk/downloads/file/10046/bfr0205,,,13/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,,,,,,58,58,,,,N/2016/1007 Full Planning Permission for 82 dwellings granted on 24.02.2017,,,,,,local-authority-eng:NOR,,not owned by a public authority,,,,,,,,,,permissioned,permission in principle,,,,,,,,,,,,,,,,,,,,,,BFR0211,"Green Oaks Primary, Bective Road",https://www.northampton.gov.uk/downloads/file/10047/bfr0211,,,29/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,5.57,,,,,,,,,,,,,,,,,,179,179,,,,Outline application N/2015/0647 and reserved matters application N/2016/0572 for residential development comprising 195 dwellings were approved in 2016.,,,,,,local-authority-eng:NOR,,not owned by a public authority,,,,,,,,,,permissioned,reserved matters approval,,,,,,,,,,,,,,,,,,,,,,BFR0214,"Kingsthorpe Middle School, Northfield Way",https://www.northampton.gov.uk/downloads/file/10050/bfr0214,,,29/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,2.12,,,,,,,,,,,,,,,,,,270,270,,,,Forms part of Policy 19 (Castle Station) in the Central Area Action Plan (adopted 2013).  No planning history found.,,,,,,local-authority-eng:NOR,,mixed ownership,,,,,,,,,,not permissioned,,,,,,,,,,,,,,,,,,,,,,,BFR0288,Railway Station Car Park,https://www.northampton.gov.uk/downloads/file/10048/bfr0288,,,29/06/2016,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,20,20,,,,"N/2016/1075 Full planning permission for Wilson House, 2 Orchard Hill, for change of use from office to D1 to include place of worship, day nursery, conference room, bookshop, intenet café, office, parking.",,,,,,local-authority-eng:NOR,,,,,,,,,,,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR0326,Orchard Hill,https://www.northampton.gov.uk/downloads/file/10052/bfr0326,,,13/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,13/12/2017,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,24,24,,,,"N/2016/1434 (temporary car park, Great Russell Street): proposed construction of 12 dwellings (approved).  N/2016/0319 (temporary car park, Great Russell Street): erect 24 maisonettes (refused).  N/2014/1279 (former Top of the Town Nightclub): Construction of three storey building to provide offices, 12 flats and basement parking.",,,,,,local-authority-eng:NOR,,mixed ownership,,,,,,,,,,permissioned,full planning permission,,,,,,,,,,,,,,,,,,,,,,BFR0335,Chronicle & Echo North,https://www.northampton.gov.uk/downloads/file/10053/bfr0335,,,13/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,
