entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2016-06-20,local-authority-eng:DOV,,"Coombe Valley Road, Dover",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR61-16.pdf,,,,,,,,0.74,,,2016-06-20,,Under Construction - forms part of a wider allocated site (LA8 - land in Coombe Valley),edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,,Land north of River Stour & including part of Sandwich Industrial Estate,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR68-16.pdf,,,,,,,,12.2,,,2016-06-20,,Under Construction,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,,"Old Folkestone Road, Aycliffe",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR71-16.pdf,,,,,,,,0.15,,,2016-06-20,,,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,,"Discovery Park, Ramsgate Road, Sandwich",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR87-16.pdf,,,,,,,,72.3,,,2016-06-20,,Not Started - the housing on this site forms part of a wider mixed use application on a predominantly brownfield site. Expiry date extended from 3 years for approval of reserved matters to 10 years from date of decision,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,,"Former council yard, Molland Lea, Ash",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR89-16.pdf,,,,,,,,0.16,,,2016-06-20,,,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,,"The Old Sorting Office, Charlton Green, Dover, CT16 1AP",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR129-16.pdf,,,,,,,,0.69,,,2016-06-20,,Not Started,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,,"Albany Place Car Park, Dover",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR130-16.pdf,,,,,,,,0.4,,,2016-06-20,,,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,,"Coombe Valley, Dover",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR133-16.pdf,,,,,,,,6.78,,,2016-06-20,,Allocated site - part of the site has already been granted permission. See BR60-16 and BR61-16 below. A third application on the Former Motorline Line Site in Coombe Valley has been completed https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_213882. Min homes has been adjusted to take account of this.,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,,"Land off Dunedin Drive, Dover",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR135-16.pdf,,,,,,,,0.26,,,2016-06-20,,,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,,"East Studdal Nursery, Downs Road, East Studdal",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR171-16.pdf,,,,,,,,1,,,2016-06-20,,,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,,"Eastry Hospital, Mill Lane, Eastry",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR173-16.pdf,,,,,,,,3.29,,,2016-06-20,,,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,,"The Old Chalk Pit, Heronden Road, Eastry",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR174-16.pdf,,,,,,,,0.68,,,2016-06-20,,,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,,"Prima Windows, Easole Street, Nonington",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR181-16.pdf,,,,,,,,1.14,,,2016-06-20,,,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,,"Connaught Barracks, Dover Road, Guston, CT16 1HL",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR219-16.pdf,,,,,,,,10.12,,,2016-06-20,,Not Started,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2017-12-07,local-authority-eng:DOV,,"Former Connaught Barracks, Dover Road, Guston, CT16 1HL",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR225-17.pdf,,,,,,,,2.38,,,2017-12-07,,Not Started - forms part of a wider allocated site (CP10) in the Core Strategy (2010),edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2016-06-20,local-authority-eng:DOV,,"Buckland Paper Mill, Crabble Hill, Dover",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR220-16.pdf,,,,,,,,4,,,2016-06-20,,Approx third of the site has the benefit of full planning permission (BR62-16). The remainder of the site is an allocated site.,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2017-12-18,local-authority-eng:DOV,,"Land at Salvatori, North and South of Grove Road, Preston, CT3 1EF",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR227-17.pdf,,,,,,,,5.07,,,2017-12-18,,Under Construction,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2017-12-18,local-authority-eng:DOV,,"Southern Water Pumping Station, St Richards Road, Deal",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR229-17.pdf,,,,,,,,0.33,,,2017-12-18,,Not Started,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2017-12-18,local-authority-eng:DOV,,"Ambulance Depot, Winchelsea Road, Dover, CT17 9TT",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR233-17.pdf,,,,,,,,0.2,,,2017-12-18,,Not Started,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2017-12-18,local-authority-eng:DOV,,"1 Malvern Road, Dover",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR238-17.pdf,,,,,,,,0.12,,,2017-12-18,,Not Started,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2017-12-18,local-authority-eng:DOV,,"Site rear of 162 Folkestone Road, Vale View Road, Dover, CT17 9NP",http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR240-17.pdf,,,,,,,,0.1,,,2017-12-18,,Not Started,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2018-11-30,local-authority-eng:DOV,,"Land off Ark Lane, Deal",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,,,,,,,,0.35,,,2018-11-30,,Not Started,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
2018-11-30,local-authority-eng:DOV,,"Land at 191 and Forge Bungalow, London Road, Temple Ewell",https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,,,,,,,,0.19,,,2018-11-30,,Under Construction,edd61670e040f6e97b4fe276d890b06c01dd57102bfbb91d44661dbe84197c5f
