entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2020-06-25,local-authority-eng:BRX,BR01,"High Road Broxbourne, Broxbourne, EN10 7DD",,,,,,,54.685449,-5.002568,,,,,,,f14b2fd2524272086e8c00ee6f30a90fb36585e873be0f0c28a2f8f480653e0f
2020-06-25,local-authority-eng:BRX,BR02,"Park Lane Paradise, Cheshunt, EN7 6TD",,,,,,,54.666694,-5.032888,,,,,,,f14b2fd2524272086e8c00ee6f30a90fb36585e873be0f0c28a2f8f480653e0f
2020-06-25,local-authority-eng:BRX,BR03,"Rosedale Way, Cheshunt, Waltham Cross, Hertfordshire, EN7 6HR",,,,,,,54.663744,-5.048675,,,,,,,f14b2fd2524272086e8c00ee6f30a90fb36585e873be0f0c28a2f8f480653e0f
2020-06-25,local-authority-eng:BRX,BR04,"6 Windmill Lane, Cheshunt, EN8 9AA",,,,,,,54.679898,-5.069064,,,,,,,f14b2fd2524272086e8c00ee6f30a90fb36585e873be0f0c28a2f8f480653e0f
2020-06-25,local-authority-eng:BRX,BR05,"Delamare Road, Cheshunt",,,,,,,54.684197,-5.063678,,,,,,,f14b2fd2524272086e8c00ee6f30a90fb36585e873be0f0c28a2f8f480653e0f
2020-06-25,local-authority-eng:BRX,BR06,"Bishops College, Churchgate, Cheshunt, EN8 9XG",,,,,,,54.671808,-5.067554,,,,,,,f14b2fd2524272086e8c00ee6f30a90fb36585e873be0f0c28a2f8f480653e0f
2020-06-25,local-authority-eng:BRX,BR07,"Theobalds Lane, Cheshunt, Hertfordshire, EN8 8RU",,,,,,,54.674986,-5.082967,,,,,,,f14b2fd2524272086e8c00ee6f30a90fb36585e873be0f0c28a2f8f480653e0f
2020-06-25,local-authority-eng:BRX,BR08,"577-579 Goffs Lane, Goffs Oak, EN7 5HJ",,,,,,,54.649462,-5.057745,,,,,,,f14b2fd2524272086e8c00ee6f30a90fb36585e873be0f0c28a2f8f480653e0f
2020-06-25,local-authority-eng:BRX,BR09,"104 Cuffley Hill, Goffs Oak, EN7 5EY",,,,,,,54.641345,-5.053771,,,,,,,f14b2fd2524272086e8c00ee6f30a90fb36585e873be0f0c28a2f8f480653e0f
2020-06-25,local-authority-eng:BRX,BR10,"Rye Road, Hoddesdon, EN11",,,,,,,54.705196,-4.952312,,,,,,,f14b2fd2524272086e8c00ee6f30a90fb36585e873be0f0c28a2f8f480653e0f
2020-06-25,local-authority-eng:BRX,BR11,"Lord Street, Hoddesdon, EN11 8NL",,,,,,,54.687761,-4.967868,,,,,,,f14b2fd2524272086e8c00ee6f30a90fb36585e873be0f0c28a2f8f480653e0f
2020-06-25,local-authority-eng:BRX,BR12,"Essex Road, Hoddesdon, EN11 0BX",,,,,,,51.763356,-0.003161,,,,,,,f14b2fd2524272086e8c00ee6f30a90fb36585e873be0f0c28a2f8f480653e0f
2020-06-25,local-authority-eng:BRX,BR13,"Amwell Street, Hoddesdon, EN11 8TS",,,,,,,54.694257,-4.964369,,,,,,,f14b2fd2524272086e8c00ee6f30a90fb36585e873be0f0c28a2f8f480653e0f
2020-06-25,local-authority-eng:BRX,BR14,"Police Station, High Street, Hoddesdon, EN11 8BJ",,,,,,,54.692968,-4.978803,,,,,,,f14b2fd2524272086e8c00ee6f30a90fb36585e873be0f0c28a2f8f480653e0f
2020-06-25,local-authority-eng:BRX,BR15,"16 Westfield Road, Hoddesdon, EN11 8QX",,,,,,,54.689692,-4.960994,,,,,,,f14b2fd2524272086e8c00ee6f30a90fb36585e873be0f0c28a2f8f480653e0f
2020-06-25,local-authority-eng:BRX,BR16,Waltham Cross,,,,,,,54.679603,-5.09407,,,,,,,f14b2fd2524272086e8c00ee6f30a90fb36585e873be0f0c28a2f8f480653e0f
